FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTE001,AHZTE002,AHZTE003,AHZTE004,AHZTE005,AHZTE006,AHZTE007,AHZTE008,AHZTE009,AHZTE010,AHZTE011,AHZTE012,AHZTE013,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH1PE001,AH3PE001,AH3PE002,AH3PE003,AH3PE004,AH3PE005,AH3PE006,AH3PE007,Per_Les_30,Per_Les_20,Per_Les_10,Per_Les_15
10,26,163,500300,3,2.61635E+11,Block Group 3,G5030,S,312836,0,42.4372745,-82.9720367,G26016305003003,2721.394182,312837.4259,G26016305003003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5003, Wayne County, Michigan", , ,157,0,0,37,16,51,21,28,0,4,0,0,0,229,8,0,0,0,0,0,0,0,0,0,0,6,13,24,0,79,0,41,49,5,0,4,0,0,35188,281,217,217,170,47,0,64,79.61783439,33.75796178,0,23.56687898
11,26,163,500300,4,2.61635E+11,Block Group 4,G5030,S,244755,0,42.4408702,-82.9698157,G26016305003004,2117.070668,244753.59,G26016305003004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5003, Wayne County, Michigan", , ,132,0,0,24,4,74,5,10,0,15,0,0,0,275,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,144,19,15,20,30,3,12,0,0,22500,301,242,242,132,110,0,59,81.06060606,21.21212121,0,18.18181818
12,26,163,500400,1,2.61635E+11,Block Group 1,G5030,S,128170,0,42.4329846,-82.9771457,G26016305004001,1498.585465,128169.3702,G26016305004001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5004, Wayne County, Michigan", , ,64,10,0,34,20,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,85,0,0,21,6,6,0,0,0,34583,160,87,87,64,23,0,73,100,100,15.625,68.75
13,26,163,500400,2,2.61635E+11,Block Group 2,G5030,S,142367,0,42.429858,-82.9777723,G26016305004002,1737.752887,142366.9941,G26016305004002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5004, Wayne County, Michigan", , ,81,0,20,31,0,9,0,11,0,0,0,0,10,101,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,49,3,0,13,11,0,0,0,0,21875,120,92,92,81,11,0,28,74.07407407,62.96296296,24.69135802,62.96296296
14,26,163,500400,3,2.61635E+11,Block Group 3,G5030,S,319631,0,42.4241944,-82.9773914,G26016305004003,2402.501056,319633.1469,G26016305004003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5004, Wayne County, Michigan", , ,103,0,5,26,22,18,0,32,0,0,0,0,0,245,5,0,0,0,0,0,0,5,0,0,6,0,5,0,41,77,8,0,72,21,0,5,0,0,33250,279,145,145,103,42,0,134,68.93203883,51.45631068,4.854368932,30.09708738
15,26,163,500400,4,2.61635E+11,Block Group 4,G5030,S,397710,0,42.4242062,-82.9821712,G26016305004004,3221.844401,397710.0278,G26016305004004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5004, Wayne County, Michigan", , ,174,0,10,19,53,30,11,16,6,4,14,0,11,236,0,0,0,0,0,0,0,0,0,0,0,0,18,14,20,77,20,10,43,19,13,2,0,0,23068,286,220,220,175,45,0,66,70.68965517,47.12643678,5.747126437,16.66666667
16,26,163,500500,1,2.61635E+11,Block Group 1,G5030,S,293347,0,42.424154,-82.9635139,G26016305005001,2563.239175,293347.0842,G26016305005001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5005, Wayne County, Michigan", , ,378,0,20,65,45,107,71,28,0,20,19,0,3,491,0,0,0,0,0,0,0,0,0,0,0,2,5,26,15,105,14,55,73,135,33,28,0,0,38711,620,454,454,378,76,0,166,81.48148148,34.39153439,5.291005291,22.48677249
17,26,163,500500,2,2.61635E+11,Block Group 2,G5030,S,161709,0,42.421908,-82.9712017,G26016305005002,1736.123748,161709.1738,G26016305005002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5005, Wayne County, Michigan", , ,78,0,0,31,0,22,25,0,0,0,0,0,0,174,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26,53,23,6,37,7,5,0,0,0,0,232,141,141,78,63,0,91,100,39.74358974,0,39.74358974
18,26,163,500500,3,2.61635E+11,Block Group 3,G5030,S,179054,0,42.4251577,-82.9676466,G26016305005003,1695.191158,179051.1428,G26016305005003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5005, Wayne County, Michigan", , ,138,0,0,36,62,15,17,0,8,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,6,15,21,73,0,15,60,28,0,8,0,0,32557,276,163,163,144,19,0,113,94.20289855,71.01449275,0,26.08695652
19,26,163,500500,4,2.61635E+11,Block Group 4,G5030,S,179217,0,42.4250879,-82.9725502,G26016305005004,1695.897431,179217.3628,G26016305005004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5005, Wayne County, Michigan", , ,55,0,0,18,0,3,0,15,10,0,5,0,4,110,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,48,0,15,28,0,12,0,0,0,0,132,65,65,55,10,0,67,38.18181818,32.72727273,0,32.72727273
20,26,163,500600,1,2.61635E+11,Block Group 1,G5030,S,385254,0,42.4324215,-82.957697,G26016305006001,3156.783708,385254.7696,G26016305006001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5006, Wayne County, Michigan", , ,434,0,40,56,73,55,8,119,0,0,83,0,0,696,0,0,0,0,0,0,0,0,0,0,8,14,48,35,0,212,86,71,109,86,18,9,0,0,38942,764,462,462,442,20,0,302,53.4562212,38.94009217,9.216589862,22.11981567
21,26,163,500600,2,2.61635E+11,Block Group 2,G5030,S,244385,0,42.4290261,-82.9641147,G26016305006002,2010.544651,244386.4947,G26016305006002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5006, Wayne County, Michigan", , ,137,0,0,19,54,46,0,0,0,10,8,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,154,10,0,0,20,0,16,0,0,21705,390,313,313,142,171,0,77,86.86131387,53.28467153,0,13.86861314
22,26,163,500600,3,2.61635E+11,Block Group 3,G5030,S,238506,0,42.4288762,-82.9714336,G26016305006003,1998.474416,238506.9093,G26016305006003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5006, Wayne County, Michigan", , ,94,0,19,0,24,0,51,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,23,28,23,51,0,0,0,0,36786,212,202,202,145,57,0,10,100,45.74468085,20.21276596,20.21276596
23,26,163,500600,4,2.61635E+11,Block Group 4,G5030,S,206561,0,42.432963,-82.9628984,G26016305006004,1879.365896,206560.9994,G26016305006004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5006, Wayne County, Michigan", , ,198,0,0,54,35,49,26,34,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,27,39,11,48,10,22,31,67,32,0,0,0,26495,383,290,290,198,92,0,93,82.82828283,44.94949495,0,27.27272727
24,26,163,500600,5,2.61635E+11,Block Group 5,G5030,S,411229,0,42.4329825,-82.9703305,G26016305006005,2629.758998,411231.7869,G26016305006005,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,5, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 5, Census Tract 5006, Wayne County, Michigan", , ,119,0,8,20,40,0,16,35,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,22,24,12,99,28,14,16,16,0,0,0,0,35741,340,158,158,119,39,0,182,70.58823529,57.14285714,6.722689076,23.52941176
25,26,163,500700,1,2.61635E+11,Block Group 1,G5030,S,252991,0,42.4272318,-82.9415531,G26016305007001,2344.550056,252991.8954,G26016305007001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5007, Wayne County, Michigan", , ,260,0,9,6,57,78,82,0,0,10,6,12,0,701,0,0,0,0,0,0,0,0,34,0,24,0,0,39,0,114,65,55,192,4,174,0,0,0,32279,778,501,501,284,217,0,277,89.23076923,27.69230769,3.461538462,5.769230769
26,26,163,500700,2,2.61635E+11,Block Group 2,G5030,S,265431,0,42.4285176,-82.9446483,G26016305007002,2377.790279,265429.4404,G26016305007002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5007, Wayne County, Michigan", , ,371,8,0,49,91,60,78,60,0,0,0,25,0,659,8,11,0,0,0,0,0,0,15,0,0,12,22,25,0,378,26,52,25,61,24,0,0,0,27448,748,524,524,433,91,0,224,77.08894879,39.89218329,2.156334232,15.3638814
27,26,163,500700,3,2.61635E+11,Block Group 3,G5030,S,353127,0,42.4300218,-82.9483651,G26016305007003,2575.102453,353127.6457,G26016305007003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5007, Wayne County, Michigan", , ,470,0,8,65,49,28,9,163,34,54,32,28,0,761,0,0,0,0,0,0,0,0,0,0,0,14,97,89,6,342,35,8,78,18,74,0,0,0,29044,1097,667,667,478,189,0,430,33.82978723,25.95744681,1.70212766,15.53191489
28,26,163,500700,4,2.61635E+11,Block Group 4,G5030,S,348073,0,42.4317686,-82.9525431,G26016305007004,2660.195581,348071.147,G26016305007004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5007, Wayne County, Michigan", , ,440,0,31,36,10,37,72,107,11,30,61,34,11,753,0,0,0,0,0,0,0,0,0,0,12,11,57,76,59,205,71,10,149,12,91,0,0,0,51027,922,599,599,456,143,0,323,42.27272727,17.5,7.045454545,15.22727273
29,26,163,500800,1,2.61635E+11,Block Group 1,G5030,S,487659,0,42.4240044,-82.9332172,G26016305008001,2998.857165,487658.946,G26016305008001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500800,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5008, Wayne County, Michigan", , ,629,0,41,88,125,26,59,156,0,18,79,9,28,784,6,0,0,0,0,0,0,0,0,0,36,0,12,66,8,214,73,33,210,64,23,31,0,8,37031,1047,759,759,662,97,0,288,53.89507154,40.38155803,6.518282989,20.50874404
30,26,163,500800,2,2.61635E+11,Block Group 2,G5030,S,317284,0,42.4256592,-82.9382376,G26016305008002,2538.789171,317283.9469,G26016305008002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500800,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5008, Wayne County, Michigan", , ,550,0,0,101,28,141,6,138,0,16,65,15,40,900,8,0,0,0,0,0,0,0,0,0,0,19,36,47,9,350,38,86,154,40,64,49,0,0,29095,1206,675,675,592,83,0,531,50.18181818,23.45454545,0,18.36363636
31,26,163,500900,1,2.61635E+11,Block Group 1,G5030,S,347872,0,42.4192184,-82.9396155,G26016305009001,2402.948489,347870.9453,G26016305009001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5009, Wayne County, Michigan", , ,450,36,89,28,84,20,45,70,0,0,27,22,29,742,0,0,0,0,0,0,0,0,0,0,0,7,9,100,49,296,7,62,149,48,15,0,0,0,21603,1021,601,601,495,106,0,420,67.11111111,52.66666667,27.77777778,34
32,26,163,500900,2,2.61635E+11,Block Group 2,G5030,S,274781,0,42.4215399,-82.9457549,G26016305009002,2105.347257,274781.5901,G26016305009002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5009, Wayne County, Michigan", , ,222,0,27,10,0,60,13,58,8,0,38,0,8,518,8,0,0,0,0,0,0,0,0,5,0,30,0,67,0,121,46,14,124,66,37,0,0,0,34620,605,333,333,271,62,0,272,49.54954955,16.66666667,12.16216216,16.66666667
33,26,163,500900,3,2.61635E+11,Block Group 3,G5030,S,220834,0,42.423493,-82.9505191,G26016305009003,1902.925828,220834.8485,G26016305009003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5009, Wayne County, Michigan", , ,203,8,0,0,12,122,17,0,0,0,44,0,0,462,8,0,0,0,0,0,0,0,0,0,0,0,34,25,31,106,14,7,148,73,16,0,0,0,29830,569,239,239,213,26,0,330,78.32512315,9.852216749,3.9408867,3.9408867
34,26,163,500900,4,2.61635E+11,Block Group 4,G5030,S,322754,0,42.4256494,-82.9557494,G26016305009004,2275.479492,322753.4946,G26016305009004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5009, Wayne County, Michigan", , ,128,26,0,0,55,0,8,0,0,16,0,9,14,469,0,0,0,0,0,0,0,0,0,0,14,28,88,97,22,95,32,6,17,8,55,7,0,0,20057,560,183,183,128,55,0,377,69.53125,63.28125,20.3125,20.3125
35,26,163,501000,1,2.61635E+11,Block Group 1,G5030,S,313912,0,42.4189013,-82.9520536,G26016305010001,2288.556573,313912.3488,G26016305010001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501000,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5010, Wayne County, Michigan", , ,265,0,16,62,72,34,6,51,0,12,1,11,0,391,12,0,0,0,0,0,0,0,0,0,0,0,34,21,26,67,72,18,88,21,22,10,0,0,30521,533,274,274,265,9,0,259,71.69811321,56.60377358,6.037735849,29.43396226
36,26,163,501000,2,2.61635E+11,Block Group 2,G5030,S,312030,0,42.4160082,-82.9448317,G26016305010002,2287.98673,312029.6212,G26016305010002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501000,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5010, Wayne County, Michigan", , ,156,0,0,0,0,45,53,50,0,8,0,0,0,508,0,0,0,0,0,0,0,0,0,0,15,13,0,42,0,199,19,38,60,66,14,10,0,32,42153,539,215,215,156,59,0,324,62.82051282,0,0,0
37,26,163,501000,3,2.61635E+11,Block Group 3,G5030,S,270075,0,42.4216675,-82.9587746,G26016305010003,2140.987193,270073.4312,G26016305010003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501000,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5010, Wayne County, Michigan", , ,441,0,42,35,12,38,35,109,0,86,38,16,30,746,0,0,0,0,0,0,0,0,14,0,0,0,11,102,52,176,34,48,270,39,0,0,0,0,29679,907,639,639,490,149,0,268,36.73469388,20.1814059,9.523809524,17.46031746
38,26,163,501100,1,2.61635E+11,Block Group 1,G5030,S,236772,0,42.4157893,-82.9562981,G26016305011001,1946.077173,236772.0703,G26016305011001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5011, Wayne County, Michigan", , ,218,0,0,56,0,99,0,63,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,63,30,83,0,25,127,20,17,9,0,0,30602,524,272,272,218,54,0,252,71.10091743,25.68807339,0,25.68807339
39,26,163,501100,2,2.61635E+11,Block Group 2,G5030,S,231987,0,42.4116596,-82.9588089,G26016305011002,2090.026349,231988.6251,G26016305011002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5011, Wayne County, Michigan", , ,97,0,0,0,70,10,0,17,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,8,0,28,9,33,158,21,0,84,0,0,0,0,0,37989,360,170,170,97,73,0,190,82.4742268,72.16494845,0,0
40,26,163,501100,3,2.61635E+11,Block Group 3,G5030,S,268176,0,42.4067542,-82.9608442,G26016305011003,2253.682457,268176.3351,G26016305011003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5011, Wayne County, Michigan", , ,88,0,1,0,23,53,0,0,0,0,11,0,0,182,1,0,0,0,0,0,0,0,0,0,11,20,0,0,0,60,1,1,50,38,0,0,0,0,22500,193,88,88,88,0,0,105,87.5,27.27272727,1.136363636,1.136363636
41,26,163,501100,4,2.61635E+11,Block Group 4,G5030,S,249739,0,42.412432,-82.9628973,G26016305011004,2355.541331,249738.8656,G26016305011004,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5011, Wayne County, Michigan", , ,173,35,6,34,26,0,0,46,17,0,0,9,0,381,0,0,0,0,0,0,0,0,0,0,10,9,0,21,0,91,79,93,54,6,0,0,10,8,17078,394,251,251,173,78,0,143,58.38150289,58.38150289,23.69942197,43.35260116
42,26,163,501100,5,2.61635E+11,Block Group 5,G5030,S,248840,0,42.4180613,-82.9616162,G26016305011005,1952.673281,248839.7794,G26016305011005,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,5, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 5, Census Tract 5011, Wayne County, Michigan", , ,266,8,0,0,64,122,0,0,8,25,0,39,0,390,0,0,0,0,0,0,0,0,0,0,35,0,0,12,12,193,0,0,116,22,0,0,0,0,23478,599,390,390,266,124,0,209,72.93233083,27.06766917,3.007518797,3.007518797
43,26,163,501200,1,2.61635E+11,Block Group 1,G5030,S,440121,0,42.4104936,-82.9507049,G26016305012001,3437.083281,440123.18,G26016305012001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501200,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5012, Wayne County, Michigan", , ,237,0,0,17,29,66,0,59,9,0,29,13,15,468,0,0,0,0,0,0,0,0,0,4,0,0,18,70,7,195,5,53,59,44,9,0,0,4,21875,639,353,353,242,111,0,286,47.25738397,19.4092827,0,7.172995781
44,26,163,501200,2,2.61635E+11,Block Group 2,G5030,S,247399,0,42.4131177,-82.952388,G26016305012002,2098.953924,247400.0339,G26016305012002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501200,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5012, Wayne County, Michigan", , ,194,0,14,0,58,44,5,54,0,4,5,0,10,511,6,0,7,0,0,0,0,0,0,27,9,0,27,31,23,118,75,33,108,16,15,10,0,6,29821,567,308,308,202,106,0,259,62.37113402,37.11340206,7.216494845,7.216494845
