GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTE001,AHZTE002,AHZTE003,AHZTE004,AHZTE005,AHZTE006,AHZTE007,AHZTE008,AHZTE009,AHZTE010,AHZTE011,AHZTE012,AHZTE013,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH1PE001,AH3PE001,AH3PE002,AH3PE003,AH3PE004,AH3PE005,AH3PE006,AH3PE007
G26000109706002,2013-2017,,,Michigan,26,Alcona County,1,,,970600,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9706, Alcona County, Michigan",,,248,0,0,33,76,58,32,32,5,4,0,8,0,521,0,0,0,0,0,0,0,0,0,0,8,4,24,9,19,146,70,34,108,46,50,3,0,0,40625,600,311,311,265,46,0,289
G26000109900000,2013-2017,,,Michigan,26,Alcona County,1,,,990000,0,,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9900, Alcona County, Michigan",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
G26000300001001,2013-2017,,,Michigan,26,Alger County,3,,,100,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Alger County, Michigan",,,277,29,51,73,50,10,18,2,0,0,0,44,0,757,37,0,0,0,0,0,0,0,0,0,0,18,26,9,18,278,18,54,111,52,105,27,4,0,41875,828,308,308,296,12,0,520
G26000300001002,2013-2017,,,Michigan,26,Alger County,3,,,100,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Alger County, Michigan",,,600,41,226,211,46,31,7,8,0,0,8,3,19,1106,3,0,0,0,0,0,0,0,6,17,11,10,9,35,5,444,136,45,128,93,108,47,0,9,37887,1337,712,712,689,23,0,625
G26000300001003,2013-2017,,,Michigan,26,Alger County,3,,,100,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1, Alger County, Michigan",,,372,132,87,54,4,38,4,6,0,0,13,29,5,878,31,0,0,0,0,0,0,0,0,0,10,0,33,10,5,252,43,85,100,137,102,53,8,9,29063,894,401,401,396,5,0,493
G26000300002001,2013-2017,,,Michigan,26,Alger County,3,,,200,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Alger County, Michigan",,,410,6,33,31,23,35,72,45,26,50,48,4,37,1068,0,0,0,0,2,0,0,0,38,2,12,5,17,16,2,417,29,52,172,82,151,47,6,18,49135,1117,497,497,469,28,0,620
G26000300002002,2013-2017,,,Michigan,26,Alger County,3,,,200,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Alger County, Michigan",,,568,55,225,105,73,19,0,14,0,0,56,14,7,1111,2,0,0,0,0,0,0,0,0,0,4,41,14,8,5,320,69,93,191,70,202,76,4,12,47596,1195,694,694,599,95,0,501
G26000300003001,2013-2017,,,Michigan,26,Alger County,3,,,300,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Alger County, Michigan",,,394,4,36,37,20,35,10,96,5,41,90,17,3,872,0,0,0,0,0,0,0,0,0,0,21,3,28,31,4,326,40,70,149,70,110,17,0,3,50909,1010,486,486,446,40,0,524
G26000300003002,2013-2017,,,Michigan,26,Alger County,3,,,300,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Alger County, Michigan",,,233,26,21,17,36,45,14,15,7,7,29,8,8,1339,14,0,0,0,0,0,0,0,9,2,35,27,19,76,35,243,500,36,117,78,90,58,0,0,45000,1602,298,298,265,33,0,1304
G26000309900000,2013-2017,,,Michigan,26,Alger County,3,,,990000,0,,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9900, Alger County, Michigan",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
G26000500302001,2013-2017,,,Michigan,26,Allegan County,5,,,30200,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 302, Allegan County, Michigan",,,1069,18,69,242,232,164,54,154,13,13,80,22,8,1680,0,0,0,0,0,0,0,0,0,0,16,0,0,33,0,261,31,80,195,147,542,284,71,20,82426,1859,1245,1245,1187,58,0,614
G26000500302002,2013-2017,,,Michigan,26,Allegan County,5,,,30200,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 302, Allegan County, Michigan",,,467,15,82,97,168,55,30,0,7,0,13,0,0,721,0,0,0,0,6,0,0,0,0,0,0,0,6,21,0,169,14,50,53,51,225,126,0,0,80662,792,473,473,473,0,0,319
G26000500303001,2013-2017,,,Michigan,26,Allegan County,5,,,30300,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 303, Allegan County, Michigan",,,678,8,84,78,188,170,32,51,6,16,26,16,3,920,0,0,0,0,0,0,0,0,0,0,10,8,19,19,7,388,12,68,120,128,109,32,0,0,65972,1096,709,709,706,3,0,387
G26000500303002,2013-2017,,,Michigan,26,Allegan County,5,,,30300,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 303, Allegan County, Michigan",,,607,20,33,83,104,189,56,53,13,33,18,5,0,862,0,0,0,0,0,6,0,0,0,0,15,0,6,14,17,329,29,45,163,91,107,24,0,16,66579,987,680,680,680,0,0,307
G26000500303003,2013-2017,,,Michigan,26,Allegan County,5,,,30300,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 303, Allegan County, Michigan",,,1337,97,58,69,106,459,129,223,79,0,14,29,74,1667,13,0,0,0,0,0,0,0,0,0,0,0,0,36,43,764,122,43,275,199,129,43,0,0,65417,1834,1406,1406,1388,18,0,428
G26000500303004,2013-2017,,,Michigan,26,Allegan County,5,,,30300,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 303, Allegan County, Michigan",,,1105,0,73,89,116,235,158,228,14,93,17,29,53,1526,20,0,0,0,0,0,0,0,0,0,20,17,0,40,25,634,84,41,316,107,176,46,0,0,65982,1680,1168,1168,1126,42,0,512
G26000500304011,2013-2017,,,Michigan,26,Allegan County,5,,,30401,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 304.01, Allegan County, Michigan",,,1098,0,116,87,229,126,98,316,0,0,27,70,29,1389,32,0,0,0,0,0,0,0,0,0,118,0,64,31,0,447,103,144,60,123,206,61,0,0,62885,1524,1098,1098,1098,0,0,426
G26000500304012,2013-2017,,,Michigan,26,Allegan County,5,,,30401,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 304.01, Allegan County, Michigan",,,2137,40,120,133,209,365,270,516,247,157,59,0,21,2379,12,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1018,69,153,291,345,365,96,0,14,78373,3073,2307,2307,2246,61,0,766
G26000500304013,2013-2017,,,Michigan,26,Allegan County,5,,,30401,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 304.01, Allegan County, Michigan",,,837,13,68,42,106,247,55,132,101,25,38,10,0,1023,16,0,0,0,0,0,0,0,0,0,24,0,57,0,14,519,0,133,63,100,97,0,0,0,59415,1204,876,876,837,39,0,328
G26000500304021,2013-2017,,,Michigan,26,Allegan County,5,,,30402,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 304.02, Allegan County, Michigan",,,1154,28,90,190,182,125,179,209,61,28,52,10,0,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,570,22,107,255,111,249,69,14,27,69821,1712,1291,1291,1188,103,0,421
G26000500304022,2013-2017,,,Michigan,26,Allegan County,5,,,30402,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 304.02, Allegan County, Michigan",,,667,0,18,68,84,173,119,61,18,59,26,41,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,6,97,118,112,227,117,8,0,91719,1001,686,686,679,7,0,315
G26000500304023,2013-2017,,,Michigan,26,Allegan County,5,,,30402,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 304.02, Allegan County, Michigan",,,572,0,37,76,48,102,45,128,20,8,71,21,16,948,10,0,0,0,0,0,0,0,32,0,0,8,0,0,20,272,11,111,148,101,198,26,11,0,67656,1059,642,642,642,0,0,417
G26000500305001,2013-2017,,,Michigan,26,Allegan County,5,,,30500,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 305, Allegan County, Michigan",,,845,91,122,67,68,70,71,163,43,112,38,0,0,1349,45,0,0,0,0,0,0,0,0,0,28,0,0,61,9,470,26,177,154,78,209,92,0,0,43664,1542,917,917,901,16,0,625
G26000500305002,2013-2017,,,Michigan,26,Allegan County,5,,,30500,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 305, Allegan County, Michigan",,,1094,74,144,74,157,78,73,278,22,78,51,12,53,1565,3,0,0,0,0,0,0,0,0,0,68,0,35,0,9,406,71,174,257,220,226,87,0,9,61250,1829,1166,1166,1151,15,0,663
G26000500305003,2013-2017,,,Michigan,26,Allegan County,5,,,30500,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 305, Allegan County, Michigan",,,793,12,52,115,56,117,110,199,37,40,23,26,6,1193,6,0,0,0,0,0,0,0,0,0,0,22,27,6,15,483,50,103,190,149,106,28,8,0,61723,1371,869,869,845,24,0,502
G26000500305004,2013-2017,,,Michigan,26,Allegan County,5,,,30500,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 305, Allegan County, Michigan",,,583,0,0,62,76,72,18,112,40,42,119,18,24,839,0,0,0,0,0,0,0,0,0,6,22,0,23,6,15,295,23,34,136,65,172,25,7,10,71333,974,623,623,607,16,0,351
G26000500306001,2013-2017,,,Michigan,26,Allegan County,5,,,30600,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 306, Allegan County, Michigan",,,1016,10,51,65,121,181,77,194,76,88,113,29,11,1435,4,0,0,0,0,0,0,0,0,25,8,4,31,27,39,505,87,127,258,147,94,39,28,12,59342,1669,1173,1173,1094,79,0,496
G26000500306002,2013-2017,,,Michigan,26,Allegan County,5,,,30600,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 306, Allegan County, Michigan",,,822,33,44,34,133,177,47,116,48,52,129,9,0,1109,0,0,0,0,0,0,0,0,2,0,2,3,9,14,26,474,78,54,166,110,144,15,8,4,58911,1389,932,932,876,56,0,457
G26000500306003,2013-2017,,,Michigan,26,Allegan County,5,,,30600,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 306, Allegan County, Michigan",,,468,39,42,64,36,67,31,95,22,23,21,28,0,730,8,0,0,0,0,0,0,0,0,0,14,5,4,14,5,312,16,64,132,68,48,22,6,12,53102,914,513,513,500,13,0,401
G26000500307021,2013-2017,,,Michigan,26,Allegan County,5,,,30702,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 307.02, Allegan County, Michigan",,,1404,20,169,145,196,378,154,138,19,48,109,18,10,1701,16,0,0,0,0,0,0,0,0,0,0,0,40,19,43,570,74,93,180,183,304,159,12,8,82337,2004,1467,1467,1462,5,0,537
G26000500307022,2013-2017,,,Michigan,26,Allegan County,5,,,30702,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 307.02, Allegan County, Michigan",,,1120,12,71,200,181,158,84,135,50,71,108,17,33,1669,3,0,0,0,0,0,0,0,3,4,33,36,35,8,30,524,146,95,219,157,259,102,9,6,59712,1931,1214,1214,1172,42,0,717
G26000500307031,2013-2017,,,Michigan,26,Allegan County,5,,,30703,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 307.03, Allegan County, Michigan",,,903,30,89,103,108,165,75,131,48,52,57,33,12,1193,47,0,0,0,0,3,3,0,32,0,65,42,31,18,33,362,122,63,152,57,101,55,7,0,51849,1433,950,950,919,31,0,483
G26000500307032,2013-2017,,,Michigan,26,Allegan County,5,,,30703,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 307.03, Allegan County, Michigan",,,385,3,13,47,7,58,24,85,18,28,27,59,16,655,24,0,0,0,2,2,0,0,16,20,6,10,2,33,30,267,67,36,45,45,43,0,0,7,40060,797,442,442,416,26,0,355
G26000500307041,2013-2017,,,Michigan,26,Allegan County,5,,,30704,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 307.04, Allegan County, Michigan",,,1106,74,116,40,72,157,126,241,72,89,68,38,13,1750,20,0,0,0,0,5,3,2,36,33,63,42,71,20,37,561,155,142,206,100,188,48,12,6,46198,2080,1246,1246,1143,103,0,834
G26000500307042,2013-2017,,,Michigan,26,Allegan County,5,,,30704,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 307.04, Allegan County, Michigan",,,918,23,49,76,200,290,39,112,14,63,35,8,9,1259,0,0,0,0,0,0,0,0,0,0,11,8,4,32,8,403,79,62,143,117,281,80,23,8,67917,1462,968,963,946,17,5,494
G26000500308001,2013-2017,,,Michigan,26,Allegan County,5,,,30800,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 308, Allegan County, Michigan",,,657,0,17,51,146,191,43,96,49,0,61,3,0,1245,37,0,0,0,0,0,0,0,0,0,42,14,37,15,0,335,30,78,48,64,361,155,15,14,82056,1426,760,760,760,0,0,666
G26000500308002,2013-2017,,,Michigan,26,Allegan County,5,,,30800,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 308, Allegan County, Michigan",,,579,37,185,26,62,127,3,21,0,16,70,26,6,972,3,0,0,0,0,0,0,2,0,4,8,32,10,6,22,246,15,46,159,49,221,101,21,27,64375,1063,689,689,653,36,0,374
G26000500308003,2013-2017,,,Michigan,26,Allegan County,5,,,30800,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 308, Allegan County, Michigan",,,238,13,77,33,31,12,14,6,12,11,0,13,16,528,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,52,3,16,58,37,156,128,55,7,85625,557,270,270,270,0,0,287
G26000500308004,2013-2017,,,Michigan,26,Allegan County,5,,,30800,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 308, Allegan County, Michigan",,,488,23,93,26,35,137,39,36,18,13,30,29,9,1061,17,0,0,0,0,0,0,0,0,0,9,0,2,4,22,294,30,58,68,77,341,94,33,12,46875,1154,625,625,621,4,0,529
G26000500309011,2013-2017,,,Michigan,26,Allegan County,5,,,30901,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 309.01, Allegan County, Michigan",,,544,13,35,53,117,45,33,83,19,16,79,16,35,1073,9,0,0,0,0,0,0,0,0,0,54,5,12,12,4,394,21,98,96,104,152,81,0,31,62059,1199,580,580,567,13,0,619
G26000500309012,2013-2017,,,Michigan,26,Allegan County,5,,,30901,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 309.01, Allegan County, Michigan",,,320,17,72,95,18,22,25,10,20,0,26,11,4,614,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,126,14,40,39,80,169,88,10,45,76417,647,347,347,341,6,0,300
G26000500309013,2013-2017,,,Michigan,26,Allegan County,5,,,30901,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 309.01, Allegan County, Michigan",,,284,27,18,54,59,41,0,26,8,40,4,0,7,616,9,0,0,0,0,0,0,0,27,0,5,23,5,36,0,260,53,49,63,20,66,0,0,0,43243,686,370,370,328,42,0,316
G26000500309021,2013-2017,,,Michigan,26,Allegan County,5,,,30902,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 309.02, Allegan County, Michigan",,,312,4,14,61,37,40,51,42,18,2,28,15,0,598,0,0,0,0,10,6,0,0,3,0,25,7,7,10,10,155,33,44,72,29,120,55,8,4,54643,650,341,341,322,19,0,309
G26000500309022,2013-2017,,,Michigan,26,Allegan County,5,,,30902,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 309.02, Allegan County, Michigan",,,654,11,42,90,56,91,97,114,43,4,39,49,18,1336,6,0,0,0,0,0,0,0,0,0,8,13,5,48,5,323,82,55,213,94,363,75,27,19,61989,1486,743,743,723,20,0,743
G26000500310001,2013-2017,,,Michigan,26,Allegan County,5,,,31000,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 310, Allegan County, Michigan",,,391,0,0,73,13,228,63,0,0,0,0,14,0,791,0,0,0,0,0,0,0,0,0,0,232,0,0,15,14,289,82,60,63,0,12,24,0,0,33641,1122,513,513,460,53,0,609
G26000500310002,2013-2017,,,Michigan,26,Allegan County,5,,,31000,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 310, Allegan County, Michigan",,,360,0,0,94,25,53,53,57,0,24,43,0,11,655,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,192,39,46,229,71,62,0,0,0,49417,748,439,439,360,79,0,309
G26000500310003,2013-2017,,,Michigan,26,Allegan County,5,,,31000,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 310, Allegan County, Michigan",,,575,20,67,104,22,131,12,23,48,6,136,6,0,978,16,0,0,0,0,0,0,0,5,0,10,20,5,50,44,357,130,93,85,96,35,19,13,0,59313,1298,707,707,617,90,0,591
G26000500310004,2013-2017,,,Michigan,26,Allegan County,5,,,31000,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 310, Allegan County, Michigan",,,445,3,23,39,55,54,18,87,17,10,78,52,9,743,10,0,0,0,0,0,0,0,0,0,23,5,9,14,0,261,110,57,58,69,86,37,0,4,42266,831,519,519,468,51,0,312
G26000500310005,2013-2017,,,Michigan,26,Allegan County,5,,,31000,5,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 310, Allegan County, Michigan",,,296,4,10,59,35,107,15,13,3,11,20,10,9,379,3,0,0,0,0,0,0,0,0,4,0,10,13,0,0,111,30,29,94,16,51,13,5,0,41875,444,301,297,292,5,4,143
G26000500311001,2013-2017,,,Michigan,26,Allegan County,5,,,31100,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 311, Allegan County, Michigan",,,553,0,74,142,83,74,59,50,4,4,57,6,0,884,0,0,0,0,0,0,0,4,0,0,11,4,12,46,5,317,25,76,92,106,137,49,0,0,78125,993,628,628,596,32,0,365
G26000500311002,2013-2017,,,Michigan,26,Allegan County,5,,,31100,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 311, Allegan County, Michigan",,,264,0,46,67,0,66,21,35,15,0,0,0,14,459,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,175,78,40,77,43,13,0,12,0,51563,477,282,282,264,18,0,195
G26000500311003,2013-2017,,,Michigan,26,Allegan County,5,,,31100,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 311, Allegan County, Michigan",,,500,12,83,91,49,88,26,36,29,12,51,17,6,876,3,0,0,0,0,0,0,0,0,0,32,10,12,45,23,403,31,77,107,45,65,18,0,5,58587,959,522,522,507,15,0,437
G26000500311004,2013-2017,,,Michigan,26,Allegan County,5,,,31100,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 311, Allegan County, Michigan",,,793,44,58,256,21,0,96,158,65,79,16,0,0,1239,13,0,0,0,0,0,0,0,0,0,16,18,64,0,13,415,136,135,201,22,144,46,16,0,52888,1358,849,849,836,13,0,509
G26000500311005,2013-2017,,,Michigan,26,Allegan County,5,,,31100,5,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 311, Allegan County, Michigan",,,400,0,75,117,0,95,16,32,0,13,25,27,0,593,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,242,20,50,47,129,52,27,0,0,73555,690,432,432,413,19,0,258
G26000500311006,2013-2017,,,Michigan,26,Allegan County,5,,,31100,6,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 311, Allegan County, Michigan",,,395,10,6,49,92,53,10,63,29,27,44,5,7,742,0,0,0,0,0,0,0,0,0,0,0,44,5,8,11,363,24,50,70,75,73,19,0,0,35335,875,472,472,442,30,0,403
G26000500312001,2013-2017,,,Michigan,26,Allegan County,5,,,31200,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312, Allegan County, Michigan",,,862,44,318,27,10,48,16,90,69,66,164,0,10,1103,0,0,0,0,0,0,0,0,6,0,0,0,23,0,0,446,74,30,94,149,145,100,36,0,74337,1453,913,913,913,0,0,540
G26000500312002,2013-2017,,,Michigan,26,Allegan County,5,,,31200,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 312, Allegan County, Michigan",,,272,16,105,28,34,14,0,35,20,12,0,8,0,875,18,0,0,0,0,0,0,0,0,0,36,4,20,17,22,293,72,43,148,66,91,41,0,4,37841,900,302,302,272,30,0,598
G26000500312003,2013-2017,,,Michigan,26,Allegan County,5,,,31200,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 312, Allegan County, Michigan",,,652,77,219,71,22,126,0,14,7,37,61,9,9,822,3,0,0,0,0,0,0,0,0,0,10,0,31,0,0,201,39,54,164,100,143,77,0,0,44223,1315,722,722,703,19,0,593
G26000500312004,2013-2017,,,Michigan,26,Allegan County,5,,,31200,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 312, Allegan County, Michigan",,,376,65,8,116,0,0,19,62,96,10,0,0,0,578,0,0,0,0,0,0,7,0,0,15,0,32,30,8,16,226,62,38,56,9,10,47,22,0,40284,684,402,402,376,26,0,282
G26000500313001,2013-2017,,,Michigan,26,Allegan County,5,,,31300,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 313, Allegan County, Michigan",,,601,3,27,99,78,68,43,95,30,40,102,7,9,814,6,0,0,0,0,0,0,0,0,3,8,10,16,19,9,278,30,85,160,66,102,22,0,0,71731,933,658,658,638,20,0,275
