GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTM001,AHZTM002,AHZTM003,AHZTM004,AHZTM005,AHZTM006,AHZTM007,AHZTM008,AHZTM009,AHZTM010,AHZTM011,AHZTM012,AHZTM013,AH04M001,AH04M002,AH04M003,AH04M004,AH04M005,AH04M006,AH04M007,AH04M008,AH04M009,AH04M010,AH04M011,AH04M012,AH04M013,AH04M014,AH04M015,AH04M016,AH04M017,AH04M018,AH04M019,AH04M020,AH04M021,AH04M022,AH04M023,AH04M024,AH04M025,AH1PM001,AH3PM001,AH3PM002,AH3PM003,AH3PM004,AH3PM005,AH3PM006,AH3PM007
"G26000500304013","2013-2017",,,"Michigan","26","Allegan County","005",,,"030401","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 304.01, Allegan County, Michigan",,,214,19,44,39,66,147,71,71,155,22,42,17,10,239,25,10,10,10,10,10,10,10,10,10,37,10,54,10,22,206,10,76,54,56,84,10,10,10,9834,308,245,245,214,63,10,160
"G26000500304021","2013-2017",,,"Michigan","26","Allegan County","005",,,"030402","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 304.02, Allegan County, Michigan",,,179,34,80,81,82,62,84,91,40,25,42,15,10,152,10,10,10,10,10,10,10,10,10,10,10,10,10,72,11,176,25,43,86,49,127,35,16,27,12705,166,167,167,181,71,10,107
"G26000500304022","2013-2017",,,"Michigan","26","Allegan County","005",,,"030402","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 304.02, Allegan County, Michigan",,,123,10,20,43,50,67,60,41,21,40,19,34,10,136,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,90,10,68,50,53,99,70,13,10,23335,161,127,127,124,11,10,105
"G26000500304023","2013-2017",,,"Michigan","26","Allegan County","005",,,"030402","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 304.02, Allegan County, Michigan",,,124,10,28,41,40,55,29,60,23,13,48,23,18,116,17,10,10,10,10,10,10,10,50,10,10,12,10,10,23,76,16,49,66,58,81,20,17,10,15140,120,116,116,116,10,10,98
"G26000500305001","2013-2017",,,"Michigan","26","Allegan County","005",,,"030500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 305, Allegan County, Michigan",,,207,81,99,55,46,61,40,87,43,88,40,10,10,163,38,10,10,10,10,10,10,10,10,10,33,10,10,77,16,156,25,68,79,61,100,61,10,10,24187,259,211,211,210,29,10,161
"G26000500305002","2013-2017",,,"Michigan","26","Allegan County","005",,,"030500","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 305, Allegan County, Michigan",,,183,65,76,57,80,44,58,118,22,57,43,19,66,235,2,10,10,10,10,10,10,10,10,10,66,10,35,10,19,138,47,79,115,90,87,60,10,19,14758,274,200,200,199,19,10,144
"G26000500305003","2013-2017",,,"Michigan","26","Allegan County","005",,,"030500","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 305, Allegan County, Michigan",,,143,12,36,49,27,57,43,73,23,28,16,20,10,131,10,10,10,10,10,10,10,10,10,10,10,22,25,9,14,102,28,44,56,56,46,22,15,10,5586,151,145,145,138,21,10,98
"G26000500305004","2013-2017",,,"Michigan","26","Allegan County","005",,,"030500","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 305, Allegan County, Michigan",,,108,10,10,32,36,47,15,46,29,31,63,17,25,108,10,10,10,10,10,10,10,10,10,12,17,10,19,9,16,76,19,20,54,35,55,23,11,11,13357,139,106,106,105,12,10,78
"G26000500306001","2013-2017",,,"Michigan","26","Allegan County","005",,,"030600","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 306, Allegan County, Michigan",,,135,10,36,35,57,53,36,57,52,47,70,19,10,135,6,10,10,10,10,10,10,10,10,31,7,7,18,21,27,90,33,45,85,59,38,24,29,11,7182,152,127,127,132,38,10,95
"G26000500306002","2013-2017",,,"Michigan","26","Allegan County","005",,,"030600","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 306, Allegan County, Michigan",,,99,19,26,20,43,52,22,41,25,20,41,10,10,96,10,10,10,10,10,10,10,10,4,10,3,6,11,16,14,69,44,20,50,42,39,11,9,4,6665,128,111,111,102,29,10,70
"G26000500306003","2013-2017",,,"Michigan","26","Allegan County","005",,,"030600","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 306, Allegan County, Michigan",,,94,35,23,49,23,31,19,49,13,15,16,21,10,79,9,10,10,10,10,10,10,10,10,10,21,7,6,12,7,64,13,31,44,33,30,13,9,13,3439,108,97,97,97,14,10,84
"G26000500307021","2013-2017",,,"Michigan","26","Allegan County","005",,,"030702","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 307.02, Allegan County, Michigan",,,133,12,66,59,72,85,55,56,16,33,41,19,10,141,14,10,10,10,10,10,10,10,10,10,10,10,24,25,26,102,46,29,62,52,65,52,14,9,10286,152,133,133,132,8,10,94
"G26000500307022","2013-2017",,,"Michigan","26","Allegan County","005",,,"030702","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 307.02, Allegan County, Michigan",,,128,15,30,51,61,64,31,55,25,31,38,12,24,151,5,10,10,10,10,10,10,10,6,5,27,25,22,9,20,104,50,31,64,41,99,29,8,5,8481,179,132,132,129,21,10,104
"G26000500307031","2013-2017",,,"Michigan","26","Allegan County","005",,,"030703","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 307.03, Allegan County, Michigan",,,117,21,40,44,47,52,29,44,35,35,33,21,8,114,26,10,10,10,10,4,4,10,36,10,50,30,29,12,26,57,44,24,64,29,33,20,9,10,2194,144,121,121,119,15,10,89
"G26000500307032","2013-2017",,,"Michigan","26","Allegan County","005",,,"030703","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 307.03, Allegan County, Michigan",,,91,4,15,26,7,30,19,39,21,19,17,27,14,88,17,10,10,10,3,3,10,10,13,20,6,9,4,21,18,60,25,26,20,20,25,10,10,7,6714,131,92,92,92,15,10,76
"G26000500307041","2013-2017",,,"Michigan","26","Allegan County","005",,,"030704","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 307.04, Allegan County, Michigan",,,128,49,57,33,32,49,44,71,35,62,29,29,10,164,16,10,10,10,10,7,5,4,41,42,32,38,41,19,27,104,67,42,69,41,51,22,14,7,7566,193,128,128,130,45,10,128
"G26000500307042","2013-2017",,,"Michigan","26","Allegan County","005",,,"030704","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 307.04, Allegan County, Michigan",,,103,14,27,30,54,80,20,48,11,34,21,9,9,137,10,10,10,10,10,10,10,10,10,10,12,14,6,23,12,94,49,26,51,35,73,27,15,8,8859,161,109,108,101,18,7,112
"G26000500308001","2013-2017",,,"Michigan","26","Allegan County","005",,,"030800","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 308, Allegan County, Michigan",,,177,10,22,41,76,122,40,108,40,10,49,5,10,184,38,10,10,10,10,10,10,10,10,10,37,22,51,23,10,133,44,60,38,48,149,75,27,21,16732,217,174,174,174,10,10,174
"G26000500308002","2013-2017",,,"Michigan","26","Allegan County","005",,,"030800","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 308, Allegan County, Michigan",,,157,28,85,24,35,61,5,17,10,24,59,22,6,188,5,10,10,10,10,10,10,6,10,6,11,43,10,7,25,87,22,30,68,35,90,43,23,25,26847,209,160,160,156,30,10,104
"G26000500308003","2013-2017",,,"Michigan","26","Allegan County","005",,,"030800","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 308, Allegan County, Michigan",,,69,12,49,19,19,15,14,8,15,8,10,13,18,140,10,10,10,10,10,10,10,10,10,10,14,10,6,5,10,30,5,21,32,24,45,68,60,7,13182,143,67,67,67,10,10,126
"G26000500308004","2013-2017",,,"Michigan","26","Allegan County","005",,,"030800","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 308, Allegan County, Michigan",,,180,25,97,21,28,131,34,42,17,11,26,28,14,195,24,10,10,10,10,10,10,10,10,10,14,10,5,6,28,141,27,47,65,50,106,43,38,11,15259,216,211,211,212,6,10,154
"G26000500309011","2013-2017",,,"Michigan","26","Allegan County","005",,,"030901","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 309.01, Allegan County, Michigan",,,130,14,22,45,49,37,28,35,18,16,60,14,42,189,12,10,10,10,10,10,10,10,10,10,66,7,18,12,6,201,18,44,45,33,58,53,10,27,11357,217,136,136,129,15,10,187
"G26000500309012","2013-2017",,,"Michigan","26","Allegan County","005",,,"030901","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 309.01, Allegan County, Michigan",,,94,21,35,45,17,18,17,11,18,10,24,12,6,123,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,48,13,24,27,35,56,35,8,40,11114,132,93,93,94,8,10,79
"G26000500309013","2013-2017",,,"Michigan","26","Allegan County","005",,,"030901","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 309.01, Allegan County, Michigan",,,78,42,18,31,27,31,10,22,10,28,6,10,10,127,12,10,10,10,10,10,10,10,42,10,8,27,7,31,10,83,29,25,33,18,61,10,10,10,6549,151,99,99,93,30,10,90
"G26000500309021","2013-2017",,,"Michigan","26","Allegan County","005",,,"030902","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 309.02, Allegan County, Michigan",,,64,5,10,32,17,24,27,34,15,4,17,13,10,82,10,10,10,10,9,9,10,10,6,10,17,7,8,9,8,50,25,22,30,15,33,27,8,4,10836,99,65,65,65,11,10,64
"G26000500309022","2013-2017",,,"Michigan","26","Allegan County","005",,,"030902","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 309.02, Allegan County, Michigan",,,116,11,24,45,34,37,46,49,23,6,31,37,14,132,7,10,10,10,10,10,10,10,10,10,12,11,8,45,7,78,40,25,72,34,87,32,21,13,12918,155,118,118,117,15,10,95
"G26000500310001","2013-2017",,,"Michigan","26","Allegan County","005",,,"031000","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 310, Allegan County, Michigan",,,178,10,10,94,21,150,53,10,10,10,10,24,10,246,10,10,10,10,10,10,10,10,10,10,198,10,10,22,22,165,52,51,51,10,18,27,10,10,19186,318,186,186,187,52,10,246
"G26000500310002","2013-2017",,,"Michigan","26","Allegan County","005",,,"031000","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 310, Allegan County, Michigan",,,213,10,10,90,27,52,74,80,10,38,43,10,19,255,10,10,10,10,10,10,10,10,10,10,10,10,25,10,10,97,39,43,152,83,62,10,10,10,43457,275,223,223,213,83,10,115
"G26000500310003","2013-2017",,,"Michigan","26","Allegan County","005",,,"031000","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 310, Allegan County, Michigan",,,199,45,66,113,27,79,15,27,40,9,74,9,10,258,27,10,10,10,10,10,10,10,8,10,12,45,8,49,54,116,121,86,60,74,33,24,20,10,7218,394,262,262,201,95,10,224
"G26000500310004","2013-2017",,,"Michigan","26","Allegan County","005",,,"031000","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 310, Allegan County, Michigan",,,104,6,30,28,38,35,25,42,15,11,41,41,11,124,11,10,10,10,10,10,10,10,10,10,23,8,10,13,10,75,57,35,34,35,55,23,10,7,8426,144,121,121,107,35,10,88
"G26000500310005","2013-2017",,,"Michigan","26","Allegan County","005",,,"031000","5",,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 310, Allegan County, Michigan",,,109,6,11,60,33,70,14,14,6,14,15,11,10,92,5,10,10,10,10,10,10,10,10,7,10,12,15,10,10,54,21,23,60,18,28,14,8,10,20844,115,109,107,108,8,6,41
"G26000500311001","2013-2017",,,"Michigan","26","Allegan County","005",,,"031100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 311, Allegan County, Michigan",,,182,10,61,73,75,44,71,51,8,9,42,8,10,203,10,10,10,10,10,10,10,9,10,10,9,8,15,36,8,119,26,46,50,66,79,63,10,10,10780,231,211,211,204,40,10,125
"G26000500311002","2013-2017",,,"Michigan","26","Allegan County","005",,,"031100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 311, Allegan County, Michigan",,,157,10,43,75,10,77,24,33,22,10,10,10,23,162,10,10,10,10,10,10,10,10,10,10,10,32,10,10,10,87,78,33,63,42,20,10,19,10,37183,162,151,151,157,28,10,74
"G26000500311003","2013-2017",,,"Michigan","26","Allegan County","005",,,"031100","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 311, Allegan County, Michigan",,,118,13,41,55,32,61,30,23,35,13,34,27,9,157,8,10,10,10,10,10,10,10,10,10,30,11,14,35,27,100,33,44,54,31,34,17,10,8,7390,166,118,118,117,21,10,107
"G26000500311004","2013-2017",,,"Michigan","26","Allegan County","005",,,"031100","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 311, Allegan County, Michigan",,,239,45,60,212,31,10,98,67,46,86,26,10,10,267,22,10,10,10,10,10,10,10,10,10,25,28,51,10,21,157,100,112,118,34,108,49,26,10,9618,294,246,246,247,18,10,142
"G26000500311005","2013-2017",,,"Michigan","26","Allegan County","005",,,"031100","5",,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 311, Allegan County, Michigan",,,181,10,62,96,10,139,25,36,10,20,29,43,10,185,10,10,10,10,10,10,10,10,10,10,15,14,10,10,10,100,32,46,44,148,36,29,10,10,14049,205,186,186,182,30,10,100
"G26000500311006","2013-2017",,,"Michigan","26","Allegan County","005",,,"031100","6",,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 311, Allegan County, Michigan",,,104,16,11,33,48,38,12,41,22,25,33,8,12,132,10,10,10,10,10,10,10,10,10,10,10,58,8,10,11,115,21,31,38,34,34,17,10,10,3264,147,115,115,109,24,10,101
"G26000500312001","2013-2017",,,"Michigan","26","Allegan County","005",,,"031200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312, Allegan County, Michigan",,,245,48,262,42,17,61,29,97,65,52,85,10,16,282,10,10,10,10,10,10,10,10,15,10,10,10,39,10,10,225,54,35,70,101,72,82,42,10,20463,309,244,244,244,10,10,218
"G26000500312002","2013-2017",,,"Michigan","26","Allegan County","005",,,"031200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 312, Allegan County, Michigan",,,100,23,57,31,44,23,10,39,18,19,10,14,10,170,23,10,10,10,10,10,10,10,10,10,32,7,23,23,28,101,68,33,65,47,70,38,10,8,9565,176,111,111,100,36,10,139
"G26000500312003","2013-2017",,,"Michigan","26","Allegan County","005",,,"031200","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 312, Allegan County, Michigan",,,202,71,103,72,25,88,10,26,11,52,69,14,25,226,6,10,10,10,10,10,10,10,10,10,17,10,39,10,10,133,42,54,130,83,95,72,10,10,7709,381,226,226,215,32,10,288
"G26000500312004","2013-2017",,,"Michigan","26","Allegan County","005",,,"031200","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 312, Allegan County, Michigan",,,199,48,14,58,10,10,31,81,110,16,10,10,10,198,10,10,10,10,10,10,18,10,10,30,10,35,36,15,26,165,45,40,52,15,16,50,37,10,20032,254,208,208,199,36,10,102
"G26000500313001","2013-2017",,,"Michigan","26","Allegan County","005",,,"031300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 313, Allegan County, Michigan",,,91,5,15,33,30,42,16,40,16,22,32,7,10,91,8,10,10,10,10,10,10,10,10,5,8,8,11,13,9,54,16,31,45,20,29,12,10,10,4216,109,95,95,94,12,10,52
