FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,Occupancy_Status_Total,Occupancy_Status_Occupied,Occupancy_Status_Vacant,Value_Total,Value_Less_than_10000,Value_10000_to_14999,Value_15000_to_19999,Value_20000_to_24999,Value_25000_to_29999,Value_30000_to_34999,Value_35000_to_39999,Value_40000_to_49999,Value_50000_to_59999,Value_60000_to_69999,Value_70000_to_79999,Value_80000_to_89999,Value_90000_to_99999,Value_100000_to_124999,Value_125000_to_149999,Value_150000_to_174999,Value_175000_to_199999,Value_200000_to_249999,Value_250000_to_299999,Value_300000_to_399999,Value_400000_to_499999,Value_500000_to_749999,Value_750000_to_999999,Value_1000000_to_1499999,Value_1500000_to_1999999,Value_2000000_or_more,Median_Value,AH6FE001,AH6FE002,AH6FE003,AH6FE004,AH6FE005,AH6FE006,AH6FE007,AH6FE008,AH6FE009,AH6FE010,AH6FE011,AH6FE012,AH6FE013,AH6FE014,AH6FE015,AH6FE016,AH6FE017,AH6FE018,AH6FE019,AH6FE020,AH6FE021,AH6FE022,AH6FE023,AH6GE001,AH6GE002,AH6GE003,Per_Vacant,UNIQUE_ID
10,26,163,500300,3,2.62E+11,Block Group 3,G5030,S,312836,0,42.4372745,-82.9720367,G26016305003003,2721.394182,312837.4259,G26016305003003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5003, Wayne County, Michigan",321,147,174,67,0,11,15,0,0,0,0,0,20,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,53800,67,16,0,0,0,0,0,0,0,16,0,0,51,0,0,31,10,10,0,0,0,0,0,21.3,0,19.1,54.20560748,10
11,26,163,500300,4,2.62E+11,Block Group 4,G5030,S,244755,0,42.4408702,-82.9698157,G26016305003004,2117.070668,244753.59,G26016305003004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5003, Wayne County, Michigan",268,162,106,80,30,0,22,13,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17300,80,25,0,0,0,0,0,0,0,0,25,0,55,10,0,3,0,0,12,0,0,30,0,50,0,50,39.55223881,11
12,26,163,500400,1,2.62E+11,Block Group 1,G5030,S,128170,0,42.4329846,-82.9771457,G26016305004001,1498.585465,128169.3702,G26016305004001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5004, Wayne County, Michigan",160,96,64,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,6,0,0,0,0,0,0,0,0,40,12
13,26,163,500400,2,2.62E+11,Block Group 2,G5030,S,142367,0,42.429858,-82.9777723,G26016305004002,1737.752887,142366.9941,G26016305004002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5004, Wayne County, Michigan",146,76,70,46,3,0,0,0,10,11,0,0,0,0,0,11,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,46,27,0,0,0,0,11,11,0,0,5,0,19,6,0,10,0,0,0,0,0,0,3,27.5,31.1,0,47.94520548,13
14,26,163,500400,3,2.62E+11,Block Group 3,G5030,S,319631,0,42.4241944,-82.9773914,G26016305004003,2402.501056,319633.1469,G26016305004003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5004, Wayne County, Michigan",274,123,151,64,10,5,0,0,11,9,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33300,64,19,0,0,0,0,4,0,7,0,8,0,45,6,5,18,0,0,0,0,0,16,0,28.8,38.9,18.2,55.10948905,14
15,26,163,500400,4,2.62E+11,Block Group 4,G5030,S,397710,0,42.4242062,-82.9821712,G26016305004004,3221.844401,397710.0278,G26016305004004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500400,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5004, Wayne County, Michigan",291,125,166,58,9,17,0,0,4,0,0,0,8,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,58,7,0,0,0,0,0,0,0,0,7,0,51,17,17,0,0,0,9,0,0,8,0,13.5,0,12.5,57.04467354,15
16,26,163,500500,1,2.62E+11,Block Group 1,G5030,S,293347,0,42.424154,-82.9635139,G26016305005001,2563.239175,293347.0842,G26016305005001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5005, Wayne County, Michigan",371,279,92,127,4,6,0,10,32,28,7,7,16,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32100,127,71,0,13,12,0,0,13,16,14,3,0,56,9,16,24,0,0,7,0,0,0,0,18.5,34,15.6,24.79784367,16
17,26,163,500500,2,2.62E+11,Block Group 2,G5030,S,161709,0,42.421908,-82.9712017,G26016305005002,1736.123748,161709.1738,G26016305005002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5005, Wayne County, Michigan",211,117,94,55,4,8,22,0,0,7,0,0,0,3,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,18500,55,15,0,0,0,0,0,11,0,0,4,0,40,13,0,8,0,0,0,11,0,8,0,33,0,19.4,44.54976303,17
18,26,163,500500,3,2.62E+11,Block Group 3,G5030,S,179054,0,42.4251577,-82.9676466,G26016305005003,1695.191158,179051.1428,G26016305005003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5005, Wayne County, Michigan",186,147,39,71,0,0,4,32,5,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24900,71,10,0,0,10,0,0,0,0,0,0,0,61,27,13,16,0,0,0,0,0,5,0,13.3,0,11.3,20.96774194,18
19,26,163,500500,4,2.62E+11,Block Group 4,G5030,S,179217,0,42.4250879,-82.9725502,G26016305005004,1695.897431,179217.3628,G26016305005004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500500,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5005, Wayne County, Michigan",216,57,159,28,0,0,5,5,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,0,0,5,0,0,0,0,0,0,23,5,0,0,18,0,0,0,0,0,0,22,0,21.8,73.61111111,19
20,26,163,500600,1,2.62E+11,Block Group 1,G5030,S,385254,0,42.4324215,-82.957697,G26016305006001,3156.783708,385254.7696,G26016305006001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5006, Wayne County, Michigan",445,429,16,206,14,33,8,0,22,19,24,35,11,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36500,206,97,0,0,24,0,38,0,0,16,19,0,109,47,24,30,0,0,0,0,0,8,0,18,28.2,11.6,3.595505618,20
21,26,163,500600,2,2.62E+11,Block Group 2,G5030,S,244385,0,42.4290261,-82.9641147,G26016305006002,2010.544651,244386.4947,G26016305006002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5006, Wayne County, Michigan",323,122,201,23,0,0,0,0,0,5,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46500,23,15,5,10,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,13.3,0,0,62.22910217,21
22,26,163,500600,3,2.62E+11,Block Group 3,G5030,S,238506,0,42.4288762,-82.9714336,G26016305006003,1998.474416,238506.9093,G26016305006003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5006, Wayne County, Michigan",258,96,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.79069767,22
23,26,163,500600,4,2.62E+11,Block Group 4,G5030,S,206561,0,42.432963,-82.9628984,G26016305006004,1879.365896,206560.9994,G26016305006004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5006, Wayne County, Michigan",304,179,125,83,20,24,0,0,0,27,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,63,0,27,0,12,0,0,0,24,0,0,20,10,0,0,0,0,0,0,10,0,0,21.9,21.9,0,41.11842105,23
24,26,163,500600,5,2.62E+11,Block Group 5,G5030,S,411229,0,42.4329825,-82.9703305,G26016305006005,2629.758998,411231.7869,G26016305006005,2013-2017, , ,Michigan,26,Wayne County,163, , ,500600,5, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 5, Census Tract 5006, Wayne County, Michigan",241,122,119,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,49.37759336,24
25,26,163,500700,1,2.62E+11,Block Group 1,G5030,S,252991,0,42.4272318,-82.9415531,G26016305007001,2344.550056,252991.8954,G26016305007001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5007, Wayne County, Michigan",388,345,43,230,12,26,72,0,0,45,34,24,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,30600,230,60,32,0,0,0,9,0,0,0,19,0,170,0,28,18,60,0,0,0,25,39,0,23.1,10,23.3,11.08247423,25
26,26,163,500700,2,2.62E+11,Block Group 2,G5030,S,265431,0,42.4285176,-82.9446483,G26016305007002,2377.790279,265429.4404,G26016305007002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5007, Wayne County, Michigan",422,355,67,138,8,16,9,24,0,4,0,16,22,11,17,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,45000,138,75,23,16,17,0,11,0,0,0,8,0,63,16,0,0,9,9,0,7,0,0,22,15.9,14.5,22.5,15.87677725,26
27,26,163,500700,3,2.62E+11,Block Group 3,G5030,S,353127,0,42.4300218,-82.9483651,G26016305007003,2575.102453,353127.6457,G26016305007003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5007, Wayne County, Michigan",592,437,155,214,42,32,0,46,53,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23600,214,45,13,0,8,0,0,0,0,0,24,0,169,72,63,11,23,0,0,0,0,0,0,11.7,50,11,26.18243243,27
28,26,163,500700,4,2.62E+11,Block Group 4,G5030,S,348073,0,42.4317686,-82.9525431,G26016305007004,2660.195581,348071.147,G26016305007004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500700,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5007, Wayne County, Michigan",508,379,129,178,13,0,0,29,62,8,56,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,178,64,8,42,0,0,14,0,0,0,0,0,114,70,0,23,0,0,0,0,10,11,0,11.3,12.9,10,25.39370079,28
29,26,163,500800,1,2.62E+11,Block Group 1,G5030,S,487659,0,42.4240044,-82.9332172,G26016305008001,2998.857165,487658.946,G26016305008001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500800,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5008, Wayne County, Michigan",570,495,75,352,35,58,18,8,17,38,15,58,45,16,7,25,0,0,12,0,0,0,0,0,0,0,0,0,0,0,35700,352,113,6,7,26,0,0,30,0,12,32,0,239,111,71,8,0,10,7,0,24,8,0,13.8,32.9,10.6,13.15789474,29
30,26,163,500800,2,2.62E+11,Block Group 2,G5030,S,317284,0,42.4256592,-82.9382376,G26016305008002,2538.789171,317283.9469,G26016305008002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500800,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5008, Wayne County, Michigan",587,521,66,291,11,18,42,3,30,39,5,38,74,0,17,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,37500,291,152,0,6,23,61,0,0,0,27,35,0,139,35,46,0,16,0,0,0,0,18,24,21.5,23.9,12.4,11.24361158,30
31,26,163,500900,1,2.62E+11,Block Group 1,G5030,S,347872,0,42.4192184,-82.9396155,G26016305009001,2402.948489,347870.9453,G26016305009001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5009, Wayne County, Michigan",663,484,179,170,5,0,19,5,36,36,20,23,0,0,0,14,0,0,0,0,0,0,0,12,0,0,0,0,0,0,32800,170,84,20,0,0,0,0,5,36,0,23,0,86,11,27,5,0,0,0,8,12,23,0,36.9,37.4,27.5,26.9984917,31
32,26,163,500900,2,2.62E+11,Block Group 2,G5030,S,274781,0,42.4215399,-82.9457549,G26016305009002,2105.347257,274781.5901,G26016305009002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5009, Wayne County, Michigan",444,269,175,164,24,7,8,27,22,6,0,20,23,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28600,164,120,15,22,8,20,13,0,0,27,15,0,44,24,0,20,0,0,0,0,0,0,0,18.8,23.8,10,39.41441441,32
33,26,163,500900,3,2.62E+11,Block Group 3,G5030,S,220834,0,42.423493,-82.9505191,G26016305009003,1902.925828,220834.8485,G26016305009003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5009, Wayne County, Michigan",319,239,80,103,8,5,0,12,0,0,0,37,0,0,0,31,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,103,54,15,7,0,0,0,0,8,24,0,0,49,37,12,0,0,0,0,0,0,0,0,10,38.1,0,25.07836991,33
34,26,163,500900,4,2.62E+11,Block Group 4,G5030,S,322754,0,42.4256494,-82.9557494,G26016305009004,2275.479492,322753.4946,G26016305009004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500900,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5009, Wayne County, Michigan",358,233,125,128,0,0,0,0,15,25,14,7,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51100,128,39,9,7,6,7,0,0,0,0,10,0,89,12,27,8,14,0,0,0,28,0,0,18.2,17.9,18.4,34.91620112,34
35,26,163,501000,1,2.62E+11,Block Group 1,G5030,S,313912,0,42.4189013,-82.9520536,G26016305010001,2288.556573,313912.3488,G26016305010001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501000,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5010, Wayne County, Michigan",323,216,107,122,0,9,0,19,0,0,13,37,25,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45400,122,39,0,0,24,7,0,0,0,0,8,0,83,29,0,28,0,0,0,0,26,0,0,18.1,19.1,17.2,33.12693498,35
36,26,163,501000,2,2.62E+11,Block Group 2,G5030,S,312030,0,42.4160082,-82.9448317,G26016305010002,2287.98673,312029.6212,G26016305010002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501000,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5010, Wayne County, Michigan",465,315,150,164,0,10,10,0,9,55,18,11,7,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34800,164,72,0,0,45,17,0,0,0,0,10,0,92,33,37,0,0,0,0,0,11,11,0,16.3,19,11.8,32.25806452,36
37,26,163,501000,3,2.62E+11,Block Group 3,G5030,S,270075,0,42.4216675,-82.9587746,G26016305010003,2140.987193,270073.4312,G26016305010003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501000,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5010, Wayne County, Michigan",532,395,137,210,4,0,0,117,0,0,43,0,12,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24300,210,105,0,12,37,17,23,0,0,10,6,0,105,31,0,4,0,0,0,37,0,33,0,25.9,21,37.4,25.7518797,37
38,26,163,501100,1,2.62E+11,Block Group 1,G5030,S,236772,0,42.4157893,-82.9562981,G26016305011001,1946.077173,236772.0703,G26016305011001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5011, Wayne County, Michigan",323,211,112,116,34,8,0,41,0,8,0,9,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,116,16,0,0,0,8,0,0,8,0,0,0,100,17,34,8,26,0,0,7,8,0,0,19.4,0,14.9,34.6749226,38
39,26,163,501100,2,2.62E+11,Block Group 2,G5030,S,231987,0,42.4116596,-82.9588089,G26016305011002,2090.026349,231988.6251,G26016305011002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5011, Wayne County, Michigan",217,179,38,153,55,0,9,10,0,0,9,0,40,0,8,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,153,30,0,0,10,12,0,0,0,0,8,0,123,40,50,0,7,8,0,0,0,18,0,13.7,22.1,12.2,17.51152074,39
40,26,163,501100,3,2.62E+11,Block Group 3,G5030,S,268176,0,42.4067542,-82.9608442,G26016305011003,2253.682457,268176.3351,G26016305011003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5011, Wayne County, Michigan",229,130,99,71,0,11,11,8,0,0,0,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41700,71,28,0,0,0,0,8,20,0,0,0,0,43,0,0,0,24,0,8,0,0,11,0,30.6,31.5,24.5,43.23144105,40
41,26,163,501100,4,2.62E+11,Block Group 4,G5030,S,249739,0,42.412432,-82.9628973,G26016305011004,2355.541331,249738.8656,G26016305011004,2013-2017, , ,Michigan,26,Wayne County,163, , ,501100,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5011, Wayne County, Michigan",342,242,100,121,0,0,0,0,0,8,8,52,7,8,9,10,9,0,10,0,0,0,0,0,0,0,0,0,0,0,48600,121,35,0,0,10,8,0,0,17,0,0,0,86,33,10,0,0,20,0,0,8,15,0,24.7,24.7,20,29.23976608,41
