FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH36E001,AH36E002,AH36E003,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5JE001,AH5JE002,AH5JE003,AH5JE004,AH5JE005,AH5JE006,AH5JE007,AH5JE008,AH5JE009,AH5JE010,AH5JE011,AH5JE012,AH5JE013,AH5JE014,AH5JE015,AH5JE016,AH5JE017,AH5JE018,AH5JE019,AH5JE020,AH5JE021,AH5JE022,AH5JE023,AH5JE024,AH5JE025,AH5JE026,AH5JE027,AH5LE001,AH5QE001,AH5QE002,AH5QE003,AH5QE004,AH5QE005,AH5QE006,AH5QE007,AH5QE008,AH5QE009,AH5QE010,AH5QE011,AH5QE012,AH5QE013,AH5QE014,AH5QE015,AH5QE016,AH5QE017,AH5QE018,AH5QE019,AH5QE020,AH5QE021,AH5QE022,AH5QE023,AH5QE024,AH5QE025,AH5QE026,AH5QE027,AH5RE001,AH5SE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,AH5YE001,AH51E001,AH51E002,AH51E003,AH51E004,AH51E005,AH51E006,AH51E007,AH51E008,AH51E009,AH51E010,AH51E011,AH51E012,AH51E013,AH51E014,AH51E015,AH51E016,AH51E017,AH51E018,AH51E019,AH51E020,AH51E021,AH51E022,AH51E023,AH51E024,AH51E025,AH51E026,AH51E027,AH53E001,AH6CE001,AH6CE002,AH6CE003,AH6CE004,AH6CE005,AH6CE006,AH6CE007,AH6CE008,AH6CE009,AH6CE010,AH6CE011,AH6CE012,AH6CE013,AH6CE014,AH6CE015,AH6CE016,AH6CE017,AH6CE018,AH6CE019,AH6CE020,AH6CE021,AH6CE022,AH6CE023,AH6CE024,AH6CE025,AH6CE026,AH6CE027,AH6CE028,AH6CE029,AH6CE030,AH6CE031,AH6CE032,AH6CE033,AH6CE034,AH6CE035,AH6CE036,AH6CE037,AH6CE038,AH6CE039,AH6DE001,AH6DE002,AH6DE003,AH6FE001,AH6FE002,AH6FE003,AH6FE004,AH6FE005,AH6FE006,AH6FE007,AH6FE008,AH6FE009,AH6FE010,AH6FE011,AH6FE012,AH6FE013,AH6FE014,AH6FE015,AH6FE016,AH6FE017,AH6FE018,AH6FE019,AH6FE020,AH6FE021,AH6FE022,AH6FE023,AH6GE001,AH6GE002,AH6GE003,NAME_M,AH36M001,AH36M002,AH36M003,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5JM001,AH5JM002,AH5JM003,AH5JM004,AH5JM005,AH5JM006,AH5JM007,AH5JM008,AH5JM009,AH5JM010,AH5JM011,AH5JM012,AH5JM013,AH5JM014,AH5JM015,AH5JM016,AH5JM017,AH5JM018,AH5JM019,AH5JM020,AH5JM021,AH5JM022,AH5JM023,AH5JM024,AH5JM025,AH5JM026,AH5JM027,AH5LM001,AH5QM001,AH5QM002,AH5QM003,AH5QM004,AH5QM005,AH5QM006,AH5QM007,AH5QM008,AH5QM009,AH5QM010,AH5QM011,AH5QM012,AH5QM013,AH5QM014,AH5QM015,AH5QM016,AH5QM017,AH5QM018,AH5QM019,AH5QM020,AH5QM021,AH5QM022,AH5QM023,AH5QM024,AH5QM025,AH5QM026,AH5QM027,AH5RM001,AH5SM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011,AH5YM001,AH51M001,AH51M002,AH51M003,AH51M004,AH51M005,AH51M006,AH51M007,AH51M008,AH51M009,AH51M010,AH51M011,AH51M012,AH51M013,AH51M014,AH51M015,AH51M016,AH51M017,AH51M018,AH51M019,AH51M020,AH51M021,AH51M022,AH51M023,AH51M024,AH51M025,AH51M026,AH51M027,AH53M001,AH6CM001,AH6CM002,AH6CM003,AH6CM004,AH6CM005,AH6CM006,AH6CM007,AH6CM008,AH6CM009,AH6CM010,AH6CM011,AH6CM012,AH6CM013,AH6CM014,AH6CM015,AH6CM016,AH6CM017,AH6CM018,AH6CM019,AH6CM020,AH6CM021,AH6CM022,AH6CM023,AH6CM024,AH6CM025,AH6CM026,AH6CM027,AH6CM028,AH6CM029,AH6CM030,AH6CM031,AH6CM032,AH6CM033,AH6CM034,AH6CM035,AH6CM036,AH6CM037,AH6CM038,AH6CM039,AH6DM001,AH6DM002,AH6DM003,AH6FM001,AH6FM002,AH6FM003,AH6FM004,AH6FM005,AH6FM006,AH6FM007,AH6FM008,AH6FM009,AH6FM010,AH6FM011,AH6FM012,AH6FM013,AH6FM014,AH6FM015,AH6FM016,AH6FM017,AH6FM018,AH6FM019,AH6FM020,AH6FM021,AH6FM022,AH6FM023,AH6GM001,AH6GM002,AH6GM003,Per_Vacant,UNIQUE_ID
552,26,163,535500,3,261635355003,Block Group 3,G5030,S,415872.000000000000000,0.000000000000000,+42.3535216,-083.1867628,G26016305355003,2623.274450549999983,415872.116702999977861,G26016305355003,2013-2017, , ,Michigan,26,Wayne County,163, , ,535500,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5355, Wayne County, Michigan",454,333,121,333,220,113,121,42,0,9,0,0,0,70,113,93,0,0,0,0,0,31,0,0,0,0,26,20,16,0,0,0,0,0,0,0,0,0,0,0,20,580,113,93,0,0,0,0,0,0,0,0,0,0,31,0,0,26,0,8,28,0,0,0,0,0,0,0,20,730,71000,113,0,0,0,0,0,0,8,0,85,20,50.000000000000000,220,50,47,4,19,14,0,0,0,18,30,4,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,22400,220,115,0,0,0,0,0,7,0,6,14,84,4,0,0,0,0,0,0,105,0,0,0,4,7,37,0,35,22,0,0,0,0,0,0,0,0,0,0,671,1091,413,220,115,0,38,34,16,0,10,7,6,4,0,105,37,22,35,0,11,0,0,0,0,0,15.900000000000000,17.899999999999999,13.500000000000000,"Block Group 3, Census Tract 5355, Wayne County, Michigan",97,95,68,95,80,77,68,49,10,14,10,10,10,52,77,75,10,10,10,10,10,50,10,10,10,10,41,30,19,10,10,10,10,10,10,10,10,10,10,10,23,239,77,75,10,10,10,10,10,10,10,10,10,10,50,10,10,41,10,12,27,10,10,10,10,10,10,10,23,231,53758,77,10,10,10,10,10,10,15,10,75,23,0.000000000000000,80,58,39,7,23,15,10,10,10,23,35,7,10,10,10,32,10,10,10,10,10,10,10,10,10,10,10,13210,80,63,10,10,10,10,10,11,10,11,16,55,7,10,10,10,10,10,10,68,10,10,10,7,10,39,10,44,32,10,10,10,10,10,10,10,10,10,10,595,45,159,80,63,10,34,33,18,10,18,12,11,7,10,68,37,32,44,10,19,10,10,10,10,10,3.000000000000000,3.900000000000000,6.600000000000000,26.651982378900001,552
553,26,163,535600,1,261635356001,Block Group 1,G5030,S,313744.000000000000000,0.000000000000000,+42.3550194,-083.1749824,G26016305356001,2453.931896950000009,313744.249443000007886,G26016305356001,2013-2017, , ,Michigan,26,Wayne County,163, , ,535600,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5356, Wayne County, Michigan",495,400,95,400,319,81,95,24,0,28,0,0,0,43,81,44,0,0,0,0,0,0,0,11,0,12,13,0,0,0,8,0,0,0,0,0,0,0,0,0,37,546,81,44,0,0,0,0,0,0,0,0,0,0,13,0,11,12,0,0,0,8,0,0,0,0,0,0,37,691,31600,81,0,8,0,12,0,0,0,11,13,37,41.799999999999997,319,11,0,0,0,25,28,0,39,84,10,18,51,0,0,10,20,0,0,0,23,0,0,0,0,0,0,56700,319,92,0,0,0,0,0,0,0,9,10,29,31,13,0,0,0,0,0,227,0,0,0,0,25,0,9,130,20,11,9,23,0,0,0,0,0,0,0,497,1233,461,319,92,0,9,0,20,0,10,10,18,25,0,227,85,61,11,28,0,0,0,9,10,23,14.500000000000000,38.500000000000000,11.400000000000000,"Block Group 1, Census Tract 5356, Wayne County, Michigan",130,122,60,122,107,65,60,40,10,45,10,10,10,50,65,33,10,10,10,10,10,10,10,17,10,18,19,10,10,10,14,10,10,10,10,10,10,10,10,10,58,110,65,33,10,10,10,10,10,10,10,10,10,10,19,10,17,18,10,10,10,14,10,10,10,10,10,10,58,153,23886,65,10,14,10,18,10,10,10,17,19,58,38.000000000000000,107,17,10,10,10,39,28,10,25,75,15,19,54,10,10,16,23,10,10,10,38,10,10,10,10,10,10,9144,107,43,10,10,10,10,10,10,10,13,16,27,26,20,10,10,10,10,10,104,10,10,10,10,39,10,14,91,22,17,13,38,10,10,10,10,10,10,10,171,188,28,107,43,10,13,10,22,10,16,16,20,26,10,104,69,70,17,25,10,10,10,16,15,38,9.800000000000001,13.400000000000000,3.800000000000000,19.191919191899999,553
554,26,163,535600,2,261635356002,Block Group 2,G5030,S,336065.000000000000000,0.000000000000000,+42.3550132,-083.1700911,G26016305356002,2504.411742069999946,336066.221090000006370,G26016305356002,2013-2017, , ,Michigan,26,Wayne County,163, , ,535600,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5356, Wayne County, Michigan",363,262,101,262,250,12,101,24,0,0,0,0,0,77,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0.000000000000000,250,10,0,0,7,12,0,34,9,30,32,11,27,19,11,9,21,0,7,11,0,0,0,0,0,0,0,67200,250,105,0,0,0,0,0,0,10,20,10,10,21,27,7,0,0,0,0,145,0,0,0,0,10,0,34,50,30,0,0,10,0,0,11,0,0,0,0,710,1280,457,250,105,0,48,7,10,9,0,0,12,19,0,145,72,22,20,0,0,0,21,0,10,0,13.800000000000001,18.199999999999999,10.100000000000000,"Block Group 2, Census Tract 5356, Wayne County, Michigan",92,70,75,70,67,19,75,38,10,10,10,10,10,67,19,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,10,10,10,10,10,10,10,10,10,10,0,19,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,10,10,10,10,10,10,10,0,0,19,10,10,10,10,10,10,10,10,19,10,0.000000000000000,67,17,10,10,13,19,10,55,14,27,28,17,42,22,18,16,23,10,12,18,10,10,10,10,10,10,10,22426,67,61,10,10,10,10,10,10,16,23,15,16,23,42,12,10,10,10,10,63,10,10,10,10,17,10,55,38,27,10,10,14,10,10,18,10,10,10,10,407,483,80,67,61,10,49,12,15,13,10,10,19,22,10,63,58,24,22,10,10,10,24,10,14,10,3.600000000000000,15.300000000000001,6.000000000000000,27.823691460100001,554
555,26,163,535600,3,261635356003,Block Group 3,G5030,S,217144.000000000000000,0.000000000000000,+42.3528095,-083.1625211,G26016305356003,2151.610460010000224,217144.015928999986500,G26016305356003,2013-2017, , ,Michigan,26,Wayne County,163, , ,535600,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5356, Wayne County, Michigan",275,275,0,275,244,31,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,0,0.000000000000000,244,12,10,15,0,23,50,36,13,0,11,10,23,31,0,10,0,0,0,0,0,0,0,0,0,0,0,36700,244,143,0,0,0,0,12,11,0,60,0,36,24,0,0,0,0,0,0,101,0,0,0,0,23,15,12,10,21,10,0,10,0,0,0,0,0,0,0,811,881,405,244,143,0,80,23,0,0,0,29,0,11,0,101,43,11,0,22,10,15,0,0,0,0,14.300000000000001,14.500000000000000,13.400000000000000,"Block Group 3, Census Tract 5356, Wayne County, Michigan",104,104,10,104,104,50,10,10,10,10,10,10,10,10,50,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,10,10,10,10,10,10,10,10,10,10,0,50,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,10,10,10,10,10,10,10,0,0,50,10,10,10,10,10,10,10,10,50,10,0.000000000000000,104,21,16,25,10,25,58,58,19,10,17,17,28,50,10,16,10,10,10,10,10,10,10,10,10,10,10,14882,104,97,10,10,10,10,21,18,10,68,10,58,26,10,10,10,10,10,10,56,10,10,10,10,24,25,21,16,34,17,10,16,10,10,10,10,10,10,10,336,247,182,104,97,10,80,27,10,10,10,47,10,17,10,56,41,18,10,23,17,25,10,10,10,10,6.300000000000000,15.900000000000000,17.199999999999999,0.000000000000000,555
556,26,163,535600,4,261635356004,Block Group 4,G5030,S,431557.000000000000000,0.000000000000000,+42.3564081,-083.1627279,G26016305356004,2695.091115019999961,431555.509382000018377,G26016305356004,2013-2017, , ,Michigan,26,Wayne County,163, , ,535600,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5356, Wayne County, Michigan",615,560,55,560,361,199,55,0,0,0,0,0,0,55,199,199,0,0,0,0,0,0,0,29,0,26,0,37,0,11,74,13,0,9,0,0,0,0,0,0,0,734,199,199,0,0,0,0,0,0,0,0,0,29,0,0,10,0,0,115,13,32,0,0,0,0,0,0,0,853,164500,199,0,11,0,0,23,0,0,0,165,0,50.000000000000000,361,11,0,0,22,0,10,0,54,54,45,31,55,54,0,13,0,12,0,0,0,0,0,0,0,0,0,66600,361,192,0,0,0,0,11,0,11,54,31,33,20,32,0,0,0,0,0,169,0,0,0,22,24,0,34,22,11,0,56,0,0,0,0,0,0,0,0,784,965,420,361,192,24,11,22,0,32,43,10,31,19,0,169,65,25,0,0,12,0,0,24,43,0,28.800000000000001,30.800000000000001,13.900000000000000,"Block Group 4, Census Tract 5356, Wayne County, Michigan",132,134,62,134,108,108,62,10,10,10,10,10,10,62,108,108,10,10,10,10,10,10,10,47,10,43,10,48,10,18,71,22,10,14,10,10,10,10,10,10,10,200,108,108,10,10,10,10,10,10,10,10,10,47,10,10,17,10,10,103,22,33,10,10,10,10,10,10,10,34,87225,108,10,18,10,10,32,10,10,10,115,10,0.000000000000000,108,17,10,10,25,10,15,10,53,61,31,49,56,55,10,20,10,18,10,10,10,10,10,10,10,10,10,17382,108,90,10,10,10,10,17,10,18,54,48,29,22,50,10,10,10,10,10,85,10,10,10,23,25,10,53,26,17,10,59,10,10,10,10,10,10,10,10,106,186,209,108,90,25,17,23,10,50,51,16,49,21,10,85,57,26,10,10,20,10,10,27,56,10,9.000000000000000,6.100000000000000,39.799999999999997,8.943089430890000,556
557,26,163,535700,1,261635357001,Block Group 1,G5030,S,410981.000000000000000,0.000000000000000,+42.3624751,-083.1611426,G26016305357001,2642.595395020000069,410980.809065999987070,G26016305357001,2013-2017, , ,Michigan,26,Wayne County,163, , ,535700,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5357, Wayne County, Michigan",368,273,95,273,120,153,95,0,0,0,0,0,0,95,153,142,0,0,0,0,0,0,11,10,0,36,23,15,0,11,14,22,0,0,0,0,0,0,0,0,11,580,153,142,0,0,0,0,0,0,11,0,0,7,14,35,0,0,9,14,5,35,12,0,0,0,0,0,11,772,117700,153,0,14,0,41,0,0,9,0,78,11,50.000000000000000,120,5,12,12,0,5,10,0,31,0,15,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,45200,120,54,0,0,0,0,0,0,0,10,0,44,0,0,0,0,0,0,0,66,0,0,6,5,0,0,22,6,27,0,0,0,0,0,0,0,0,0,0,578,1097,400,120,54,0,0,0,14,10,0,10,10,10,0,66,15,0,6,0,0,0,5,0,40,0,40.000000000000000,36.500000000000000,50.000000000000000,"Block Group 1, Census Tract 5357, Wayne County, Michigan",52,54,38,54,43,54,38,10,10,10,10,10,10,38,54,52,10,10,10,10,10,10,16,11,10,27,22,23,10,16,18,23,10,10,10,10,10,10,10,10,17,78,54,52,10,10,10,10,10,10,16,10,10,11,22,33,10,10,16,15,8,29,19,10,10,10,10,10,17,314,46903,54,10,18,10,32,10,10,13,10,39,17,0.000000000000000,43,8,18,16,10,7,17,10,20,10,16,18,10,10,10,22,10,10,10,10,10,10,10,10,10,10,10,12986,43,32,10,10,10,10,10,10,10,17,10,28,10,10,10,10,10,10,10,32,10,10,8,8,10,10,24,10,26,10,10,10,10,10,10,10,10,10,10,368,76,205,43,32,10,10,10,22,10,10,15,17,11,10,32,14,10,8,10,10,10,8,10,26,10,16.800000000000001,15.900000000000000,0.000000000000000,25.815217391299999,557
558,26,163,535700,2,261635357002,Block Group 2,G5030,S,239234.000000000000000,0.000000000000000,+42.3624101,-083.1660253,G26016305357002,2212.895227789999808,239233.536726999998791,G26016305357002,2013-2017, , ,Michigan,26,Wayne County,163, , ,535700,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5357, Wayne County, Michigan",376,213,163,213,110,103,163,35,0,0,0,9,0,119,103,80,0,0,0,0,0,5,0,5,0,17,0,12,30,0,11,0,0,0,0,0,0,0,0,0,23,652,103,80,0,0,0,0,0,0,0,0,0,0,5,0,0,22,11,31,0,11,0,0,0,0,0,0,23,806,66700,103,0,11,12,0,5,0,0,17,35,23,47.100000000000001,110,11,11,0,11,16,6,5,30,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,35000,110,27,0,0,0,0,0,11,0,0,10,6,0,0,0,0,0,0,0,83,4,0,0,6,0,0,37,0,16,0,5,15,0,0,0,0,0,0,0,550,925,393,110,27,0,10,0,11,0,0,0,0,6,0,83,15,31,0,11,0,5,5,0,16,0,14.900000000000000,21.600000000000001,14.300000000000001,"Block Group 2, Census Tract 5357, Wayne County, Michigan",51,58,46,58,36,50,46,27,10,10,10,14,10,43,50,45,10,10,10,10,10,7,10,7,10,21,10,19,29,10,19,10,10,10,10,10,10,10,10,10,22,67,50,45,10,10,10,10,10,10,10,10,10,10,7,10,10,22,19,30,10,17,10,10,10,10,10,10,22,75,38488,50,10,17,19,10,8,10,10,21,29,22,19.100000000000001,36,16,11,10,17,19,8,8,24,8,10,10,10,10,10,10,25,10,10,10,10,10,10,10,10,10,10,16763,36,24,10,10,10,10,10,17,10,10,14,8,10,10,10,10,10,10,10,35,7,10,10,8,10,10,24,10,19,10,8,25,10,10,10,10,10,10,10,209,443,162,36,24,10,14,10,17,10,10,10,10,8,10,35,25,20,10,17,10,8,8,10,18,10,12.900000000000000,9.699999999999999,12.800000000000001,43.351063829799998,558
559,26,163,536100,1,261635361001,Block Group 1,G5030,S,403567.000000000000000,0.000000000000000,+42.4134671,-083.1480345,G26016305361001,2619.851940009999907,403565.062167999974918,G26016305361001,2013-2017, , ,Michigan,26,Wayne County,163, , ,536100,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5361, Wayne County, Michigan",634,346,288,346,238,108,288,22,0,216,25,0,0,25,108,108,0,0,0,0,0,0,0,12,44,10,0,8,0,34,0,0,0,0,0,0,0,0,0,0,0,498,108,108,0,0,0,0,0,0,0,12,0,10,0,34,8,0,0,10,0,0,34,0,0,0,0,0,0,647,90500,108,0,0,0,0,0,0,10,0,52,46,50.000000000000000,238,27,0,0,57,93,11,9,18,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,26900,238,47,0,0,0,0,0,13,0,11,0,23,0,0,0,0,0,0,0,191,0,0,7,18,31,40,8,78,0,9,0,0,0,0,0,0,0,0,0,419,895,349,238,47,0,23,0,0,11,13,0,0,0,0,191,31,77,0,10,16,26,0,0,31,0,14.400000000000000,25.199999999999999,14.199999999999999,"Block Group 1, Census Tract 5361, Wayne County, Michigan",141,97,119,97,98,60,119,35,10,106,40,10,10,41,60,60,10,10,10,10,10,10,10,20,54,16,10,14,10,49,10,10,10,10,10,10,10,10,10,10,10,235,60,60,10,10,10,10,10,10,10,20,10,16,10,51,14,10,10,16,10,10,49,10,10,10,10,10,10,609,60687,60,10,10,10,10,10,10,16,10,46,52,0.000000000000000,98,29,10,10,49,78,17,14,23,10,10,10,10,10,10,10,10,33,10,10,10,10,10,10,10,10,10,1977,98,43,10,10,10,10,10,20,10,17,10,33,10,10,10,10,10,10,10,95,10,10,13,22,34,48,13,75,10,14,10,10,10,10,10,10,10,10,10,66,392,112,98,43,10,33,10,10,17,20,10,10,10,10,95,32,69,10,17,20,43,10,10,42,10,16.399999999999999,25.000000000000000,15.800000000000001,45.425867507900001,559
560,26,163,536100,2,261635361002,Block Group 2,G5030,S,202229.000000000000000,0.000000000000000,+42.4109734,-083.1555240,G26016305361002,2029.565901819999908,202229.825573000009172,G26016305361002,2013-2017, , ,Michigan,26,Wayne County,163, , ,536100,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5361, Wayne County, Michigan",485,329,156,329,160,169,156,0,0,103,53,0,0,0,169,169,0,34,0,0,0,0,0,23,51,32,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,477,169,169,0,0,0,0,0,34,0,0,0,0,21,30,0,32,0,23,0,29,0,0,0,0,0,0,0,649,115500,169,0,0,0,17,0,0,0,30,99,23,50.000000000000000,160,0,7,0,0,9,12,40,0,14,19,27,0,0,16,0,8,0,0,0,0,8,0,0,0,0,0,58600,160,44,0,0,0,0,0,0,6,7,11,12,8,0,0,0,0,0,0,116,0,0,0,33,0,9,14,0,15,27,0,0,0,0,0,0,0,10,8,633,982,513,160,44,7,0,8,0,18,11,0,0,0,0,116,23,0,0,25,0,27,0,0,41,0,29.699999999999999,26.899999999999999,31.899999999999999,"Block Group 2, Census Tract 5361, Wayne County, Michigan",126,102,93,102,68,95,93,10,10,81,60,10,10,10,95,95,10,55,10,10,10,10,10,35,42,52,10,10,10,34,10,10,10,10,10,10,10,10,10,10,10,47,95,95,10,10,10,10,10,55,10,10,10,10,35,46,10,52,10,35,10,34,10,10,10,10,10,10,10,171,63924,95,10,10,10,26,10,10,10,46,85,35,0.000000000000000,68,10,12,10,10,14,19,49,10,21,21,39,10,10,20,10,14,10,10,10,10,13,10,10,10,10,10,30847,68,31,10,10,10,10,10,10,11,12,16,19,14,10,10,10,10,10,10,61,10,10,10,47,10,14,21,10,17,39,10,10,10,10,10,10,10,17,13,186,207,336,68,31,12,10,14,10,22,16,10,10,10,10,61,25,10,10,20,10,39,10,10,49,10,8.300000000000001,6.100000000000000,18.399999999999999,32.164948453599997,560
561,26,163,536100,3,261635361003,Block Group 3,G5030,S,402585.000000000000000,0.000000000000000,+42.4146051,-083.1556448,G26016305361003,2572.709382210000058,402584.793359000002965,G26016305361003,2013-2017, , ,Michigan,26,Wayne County,163, , ,536100,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5361, Wayne County, Michigan",414,359,55,359,110,249,55,0,0,30,0,0,0,25,249,239,0,0,79,25,9,88,0,10,11,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,10,304,249,239,0,0,0,62,42,9,11,62,0,11,0,0,6,11,25,0,0,0,0,0,0,0,0,0,10,380,94000,249,8,11,9,42,39,34,34,6,47,19,30.899999999999999,110,11,0,11,0,0,10,0,16,0,29,7,0,0,11,7,8,0,0,0,0,0,0,0,0,0,0,62400,110,40,0,0,11,0,0,0,11,0,0,18,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,41,0,16,0,7,6,0,0,0,0,0,0,619,782,485,110,40,0,19,11,0,0,0,0,0,10,0,70,0,34,0,6,7,0,0,23,0,0,15.900000000000000,15.500000000000000,20.800000000000001,"Block Group 3, Census Tract 5361, Wayne County, Michigan",114,95,61,95,56,78,61,10,10,47,10,10,10,41,78,76,10,10,52,39,14,61,10,17,17,10,19,15,10,10,10,10,10,10,10,10,10,10,10,10,18,95,78,76,10,10,10,56,41,14,18,68,10,17,10,10,15,19,30,10,10,10,10,10,10,10,10,10,18,143,32156,78,13,19,14,54,47,55,40,15,39,22,7.200000000000000,56,16,10,19,10,10,16,10,26,10,39,12,10,10,17,11,16,10,10,10,10,10,10,10,10,10,10,30220,56,33,10,10,16,10,10,10,17,10,10,23,10,10,10,10,10,10,10,49,10,10,10,10,10,10,10,36,10,26,10,11,11,10,10,10,10,10,10,286,593,168,56,33,10,23,17,10,10,10,10,10,16,10,49,10,35,10,11,12,10,10,36,10,10,14.900000000000000,16.199999999999999,25.899999999999999,13.285024154600000,561
562,26,163,536100,4,261635361004,Block Group 4,G5030,S,286721.000000000000000,0.000000000000000,+42.4135108,-083.1428474,G26016305361004,2330.458162519999860,286723.090085999981966,G26016305361004,2013-2017, , ,Michigan,26,Wayne County,163, , ,536100,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5361, Wayne County, Michigan",452,188,264,188,76,112,264,0,0,50,83,0,0,131,112,60,0,0,0,12,0,0,0,0,0,0,0,0,34,14,0,0,0,0,0,0,0,0,0,0,52,676,112,60,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,34,14,0,0,0,0,0,0,0,52,853,51200,112,0,12,0,0,0,34,0,0,14,52,32.600000000000001,76,16,0,0,0,0,11,0,1,0,39,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,62600,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,16,0,0,0,0,50,9,1,0,0,0,0,0,0,0,0,0,444,0,444,76,0,0,0,0,0,0,0,0,0,0,0,76,9,39,0,0,0,0,0,0,27,1,13.699999999999999,0.000000000000000,13.699999999999999,"Block Group 4, Census Tract 5361, Wayne County, Michigan",136,99,110,99,63,78,110,10,10,57,75,10,10,91,78,61,10,10,10,21,10,10,10,10,10,10,10,10,54,21,10,10,10,10,10,10,10,10,10,10,55,182,78,61,10,10,10,10,10,10,10,10,10,10,10,10,21,10,10,54,21,10,10,10,10,10,10,10,55,92,52632,78,10,21,10,10,10,54,10,10,21,55,14.900000000000000,63,24,10,10,10,10,16,10,12,10,58,10,10,10,10,10,10,10,10,14,10,10,10,10,10,10,10,45449,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,63,10,10,24,10,10,10,10,60,14,12,10,10,10,10,10,10,10,10,10,101,0,100,63,10,10,10,10,10,10,10,10,10,10,10,63,14,58,10,10,10,10,10,10,30,12,62.299999999999997,0.000000000000000,64.200000000000003,58.407079646000000,562
