FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH36E001,AH36E002,AH36E003,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5JE001,AH5JE002,AH5JE003,AH5JE004,AH5JE005,AH5JE006,AH5JE007,AH5JE008,AH5JE009,AH5JE010,AH5JE011,AH5JE012,AH5JE013,AH5JE014,AH5JE015,AH5JE016,AH5JE017,AH5JE018,AH5JE019,AH5JE020,AH5JE021,AH5JE022,AH5JE023,AH5JE024,AH5JE025,AH5JE026,AH5JE027,AH5LE001,AH5QE001,AH5QE002,AH5QE003,AH5QE004,AH5QE005,AH5QE006,AH5QE007,AH5QE008,AH5QE009,AH5QE010,AH5QE011,AH5QE012,AH5QE013,AH5QE014,AH5QE015,AH5QE016,AH5QE017,AH5QE018,AH5QE019,AH5QE020,AH5QE021,AH5QE022,AH5QE023,AH5QE024,AH5QE025,AH5QE026,AH5QE027,AH5RE001,AH5SE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,AH5YE001,AH51E001,AH51E002,AH51E003,AH51E004,AH51E005,AH51E006,AH51E007,AH51E008,AH51E009,AH51E010,AH51E011,AH51E012,AH51E013,AH51E014,AH51E015,AH51E016,AH51E017,AH51E018,AH51E019,AH51E020,AH51E021,AH51E022,AH51E023,AH51E024,AH51E025,AH51E026,AH51E027,AH53E001,NAME_M,AH36M001,AH36M002,AH36M003,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5JM001,AH5JM002,AH5JM003,AH5JM004,AH5JM005,AH5JM006,AH5JM007,AH5JM008,AH5JM009,AH5JM010,AH5JM011,AH5JM012,AH5JM013,AH5JM014,AH5JM015,AH5JM016,AH5JM017,AH5JM018,AH5JM019,AH5JM020,AH5JM021,AH5JM022,AH5JM023,AH5JM024,AH5JM025,AH5JM026,AH5JM027,AH5LM001,AH5QM001,AH5QM002,AH5QM003,AH5QM004,AH5QM005,AH5QM006,AH5QM007,AH5QM008,AH5QM009,AH5QM010,AH5QM011,AH5QM012,AH5QM013,AH5QM014,AH5QM015,AH5QM016,AH5QM017,AH5QM018,AH5QM019,AH5QM020,AH5QM021,AH5QM022,AH5QM023,AH5QM024,AH5QM025,AH5QM026,AH5QM027,AH5RM001,AH5SM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011,AH5YM001,AH51M001,AH51M002,AH51M003,AH51M004,AH51M005,AH51M006,AH51M007,AH51M008,AH51M009,AH51M010,AH51M011,AH51M012,AH51M013,AH51M014,AH51M015,AH51M016,AH51M017,AH51M018,AH51M019,AH51M020,AH51M021,AH51M022,AH51M023,AH51M024,AH51M025,AH51M026,AH51M027,AH53M001
51,26,163,501400,2,2.61635E+11,Block Group 2,G5030,S,237523,0,42.4094136,-82.9346757,G26016305014002,1995.817884,237522.2013,G26016305014002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501400,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5014, Wayne County, Michigan",383,325,58,325,247,78,58,0,0,0,6,0,0,52,78,71,0,0,0,0,0,0,0,8,0,30,0,0,0,0,0,17,0,16,0,0,0,0,0,0,7,0,78,71,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,0,0,8,33,0,0,0,0,0,7,1172,73500,78,0,0,16,0,16,0,0,0,39,7,50,247,7,0,19,7,16,39,35,12,51,17,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40400,"Block Group 2, Census Tract 5014, Wayne County, Michigan",73,74,52,74,69,43,52,10,10,10,9,10,10,53,43,40,10,10,10,10,10,10,10,13,10,33,10,10,10,10,10,27,10,26,10,10,10,10,10,10,11,0,43,40,10,10,10,10,10,10,10,10,10,10,10,26,10,22,10,10,10,13,37,10,10,10,10,10,11,800,47806,43,10,10,26,10,26,10,10,10,37,11,0,69,11,10,23,11,18,38,35,17,40,20,10,49,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19036
52,26,163,501400,3,2.61635E+11,Block Group 3,G5030,S,338879,0,42.4052023,-82.9371469,G26016305014003,2857.98156,338879.709,G26016305014003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501400,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5014, Wayne County, Michigan",605,422,183,422,237,185,183,19,0,18,0,15,0,131,185,185,0,0,0,0,0,0,0,0,0,29,16,23,0,41,0,28,29,19,0,0,0,0,0,0,0,730,185,185,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,23,39,46,29,0,19,0,0,0,0,1008,203900,185,23,0,0,0,0,19,29,18,80,16,47.5,237,0,0,20,0,30,48,31,40,31,19,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,38300,"Block Group 3, Census Tract 5014, Wayne County, Michigan",103,102,71,102,86,85,71,29,10,30,10,23,10,60,85,85,10,10,10,10,10,10,10,10,10,45,27,37,10,41,10,35,42,27,10,10,10,10,10,10,10,139,85,85,10,10,10,10,10,10,10,10,10,10,45,10,10,10,10,37,43,44,42,10,27,10,10,10,10,195,98842,85,33,10,10,10,10,27,42,29,63,27,24.9,86,10,10,23,10,42,55,39,48,28,30,10,10,16,10,10,12,10,10,10,10,10,10,10,10,10,10,8608
53,26,163,501400,4,2.61635E+11,Block Group 4,G5030,S,443871,0,42.4125854,-82.940348,G26016305014004,3281.466847,443869.941,G26016305014004,2013-2017, , ,Michigan,26,Wayne County,163, , ,501400,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5014, Wayne County, Michigan",452,323,129,323,197,126,129,14,36,0,0,0,0,79,126,126,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,43,37,19,0,0,0,0,0,0,0,884,126,126,0,0,0,0,0,0,0,0,0,0,0,10,0,0,17,0,0,37,51,0,11,0,0,0,0,1243,152300,126,0,10,37,0,0,0,0,30,49,0,45.3,197,0,28,0,0,0,0,0,19,8,9,61,52,7,0,0,0,0,13,0,0,0,0,0,0,0,0,75700,"Block Group 4, Census Tract 5014, Wayne County, Michigan",88,97,66,97,76,74,66,23,42,10,10,10,10,54,74,74,10,10,10,10,10,10,10,10,10,18,28,10,10,10,10,49,50,30,10,10,10,10,10,10,10,101,74,74,10,10,10,10,10,10,10,10,10,10,10,18,10,10,28,10,10,50,55,10,18,10,10,10,10,193,96131,74,10,18,50,10,10,10,10,35,56,10,31.8,76,10,37,10,10,10,10,10,22,13,14,53,52,10,10,10,10,10,21,10,10,10,10,10,10,10,10,10292
54,26,163,501500,1,2.61635E+11,Block Group 1,G5030,S,279273,0,42.4175158,-82.925776,G26016305015001,2283.903731,279274.2197,G26016305015001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501500,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5015, Wayne County, Michigan",424,331,93,331,188,143,93,0,0,20,39,0,0,34,143,128,0,0,0,18,0,0,0,0,0,24,0,0,0,72,0,14,0,0,0,0,0,0,0,0,15,715,143,128,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,29,0,23,34,0,0,0,0,0,15,876,119900,143,0,0,0,0,0,14,9,0,105,15,50,188,0,29,19,10,0,0,0,55,0,0,55,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,46500,"Block Group 1, Census Tract 5015, Wayne County, Michigan",118,121,61,121,90,89,61,10,10,33,43,10,10,37,89,87,10,10,10,29,10,10,10,10,10,38,10,10,10,73,10,24,10,10,10,10,10,10,10,10,24,142,89,87,10,10,10,10,10,10,29,10,10,10,10,10,10,10,38,46,10,30,52,10,10,10,10,10,24,369,89464,89,10,10,10,10,10,24,16,10,84,24,0,90,10,35,30,15,10,10,10,51,10,10,69,10,14,16,10,10,10,10,10,10,10,10,10,10,10,10,24839
55,26,163,501500,2,2.61635E+11,Block Group 2,G5030,S,117657,0,42.4215939,-82.9293302,G26016305015002,2143.290041,117656.8609,G26016305015002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501500,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5015, Wayne County, Michigan",176,176,0,176,78,98,0,0,0,0,0,0,0,0,98,76,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,46,0,0,0,0,0,0,0,0,22,817,98,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,46,0,0,0,0,0,0,22,1043,77600,98,0,0,0,0,0,0,30,0,0,68,0,78,0,0,0,69,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22800,"Block Group 2, Census Tract 5015, Wayne County, Michigan",79,79,10,79,68,90,10,10,10,10,10,10,10,10,90,80,10,10,10,10,10,10,10,10,10,10,10,10,39,12,10,67,10,10,10,10,10,10,10,10,35,187,90,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,39,12,67,10,10,10,10,10,10,35,233,84112,90,10,10,10,10,10,10,40,10,10,79,0,68,10,10,10,66,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,755
56,26,163,501500,3,2.61635E+11,Block Group 3,G5030,S,294215,0,42.422684,-82.9240455,G26016305015003,2372.381219,294214.6087,G26016305015003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501500,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5015, Wayne County, Michigan",310,290,20,290,154,136,20,0,20,0,0,0,0,0,136,125,0,0,0,0,0,0,0,0,21,0,0,10,42,33,19,0,0,0,0,0,0,0,0,0,11,688,136,125,0,0,0,0,0,0,0,0,0,0,21,10,0,0,0,42,42,10,0,0,0,0,0,0,11,875,106100,136,0,42,0,10,33,21,0,0,19,11,26.6,154,33,0,16,21,6,0,0,0,0,14,0,0,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 5015, Wayne County, Michigan",114,110,33,110,81,93,33,10,33,10,10,10,10,10,93,92,10,10,10,10,10,10,10,10,31,10,10,15,60,48,25,10,10,10,10,10,10,10,10,10,19,52,93,92,10,10,10,10,10,10,10,10,10,10,31,15,10,10,10,60,52,20,10,10,10,10,10,10,19,94,78036,93,10,60,10,15,48,31,10,10,25,19,13.6,81,41,10,28,37,13,10,10,10,10,19,10,10,29,39,10,10,10,10,10,10,10,10,10,10,10,10,0
57,26,163,501500,4,2.61635E+11,Block Group 4,G5030,S,349004,0,42.4186155,-82.9200677,G26016305015004,2969.282629,349002.0416,G26016305015004,2013-2017, , ,Michigan,26,Wayne County,163, , ,501500,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5015, Wayne County, Michigan",184,147,37,147,105,42,37,0,0,0,0,0,0,37,42,42,0,0,0,0,0,0,0,0,0,0,0,18,0,24,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,18,0,0,0,0,24,0,105,0,0,43,0,0,12,0,7,0,0,0,7,0,11,0,16,0,0,0,0,0,9,0,0,0,0,0,"Block Group 4, Census Tract 5015, Wayne County, Michigan",80,86,42,86,75,48,42,10,10,10,10,10,10,42,48,48,10,10,10,10,10,10,10,10,10,10,10,29,10,38,10,10,10,10,10,10,10,10,10,10,10,0,48,48,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48,10,10,10,10,10,10,10,10,10,0,0,48,10,10,10,10,29,10,10,10,10,38,0,75,10,10,61,10,10,18,10,12,10,10,10,11,10,16,10,26,10,10,10,10,10,16,10,10,10,10,0
58,26,163,501500,5,2.61635E+11,Block Group 5,G5030,S,562650,0,42.4156425,-82.9315205,G26016305015005,3111.160394,562648.4738,G26016305015005,2013-2017, , ,Michigan,26,Wayne County,163, , ,501500,5, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 5, Census Tract 5015, Wayne County, Michigan",704,543,161,543,285,258,161,39,0,0,0,0,0,122,258,207,32,0,0,0,0,0,0,0,0,19,31,23,0,23,28,29,0,22,0,0,0,0,0,0,51,647,258,207,0,0,0,0,0,0,32,0,0,0,0,0,0,0,42,23,0,81,29,0,0,0,0,0,51,1020,192700,258,0,0,23,0,28,0,0,0,156,51,50,285,0,0,10,19,30,0,0,77,17,80,15,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,53800,"Block Group 5, Census Tract 5015, Wayne County, Michigan",136,135,86,135,102,111,86,44,10,10,10,10,10,73,111,105,48,10,10,10,10,10,10,10,10,30,44,37,10,35,46,44,10,36,10,10,10,10,10,10,58,206,111,105,10,10,10,10,10,10,48,10,10,10,10,10,10,10,37,35,10,74,44,10,10,10,10,10,58,321,99101,111,10,10,35,10,46,10,10,10,92,58,0,102,10,10,16,28,36,10,10,73,28,78,18,23,32,10,10,10,10,10,10,10,10,10,10,10,10,10,17628
59,26,163,501600,1,2.61635E+11,Block Group 1,G5030,S,619979,0,42.4105594,-82.9257832,G26016305016001,3258.509059,619981.4167,G26016305016001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501600,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5016, Wayne County, Michigan",551,373,178,373,249,124,178,43,0,0,28,0,0,107,124,105,0,0,0,0,0,0,0,5,16,0,21,37,0,21,0,5,0,0,0,0,0,0,0,0,19,614,124,105,0,0,0,0,0,0,0,0,0,16,0,0,0,10,18,0,24,37,0,0,0,0,0,0,19,935,92000,124,0,17,20,5,0,0,19,0,44,19,37.8,249,19,6,22,17,5,7,5,86,43,11,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,45100,"Block Group 1, Census Tract 5016, Wayne County, Michigan",68,68,67,68,70,47,67,37,10,10,30,10,10,47,47,49,10,10,10,10,10,10,10,8,25,10,21,38,10,23,10,8,10,10,10,10,10,10,10,10,23,36,47,49,10,10,10,10,10,10,10,10,10,25,10,10,10,11,24,10,27,28,10,10,10,10,10,10,23,221,42998,47,10,25,24,8,10,10,22,10,36,23,32.1,70,24,9,17,16,8,10,9,55,36,12,10,24,10,10,10,10,6,10,10,10,10,10,10,10,10,10,3506
60,26,163,501600,2,2.61635E+11,Block Group 2,G5030,S,598701,0,42.4154127,-82.915463,G26016305016002,3595.429153,598699.2605,G26016305016002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501600,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5016, Wayne County, Michigan",522,388,134,388,194,194,134,0,0,0,0,0,0,134,194,181,0,0,0,5,4,25,23,7,0,17,22,6,0,44,0,22,6,0,0,0,0,0,0,0,13,572,194,181,0,0,0,0,5,9,20,0,23,0,7,7,0,32,0,28,6,38,6,0,0,0,0,0,13,730,132800,194,0,6,17,13,37,19,15,16,58,13,34.6,194,16,7,0,0,0,22,21,29,15,22,16,33,0,6,0,7,0,0,0,0,0,0,0,0,0,0,51300,"Block Group 2, Census Tract 5016, Wayne County, Michigan",73,79,62,79,55,71,62,10,10,10,10,10,10,62,71,71,10,10,10,8,7,23,30,11,10,26,25,10,10,42,10,23,9,10,10,10,10,10,10,10,14,136,71,71,10,10,10,10,8,12,21,10,30,10,10,11,10,36,10,31,8,36,9,10,10,10,10,10,14,137,56330,71,10,9,26,14,34,20,22,21,42,14,10.5,55,25,10,10,10,10,26,29,29,13,24,14,28,10,10,10,11,10,10,10,10,10,10,10,10,10,10,19003
61,26,163,501700,1,2.61635E+11,Block Group 1,G5030,S,559997,0,42.4018067,-82.9241218,G26016305017001,3484.007553,559997.562,G26016305017001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501700,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5017, Wayne County, Michigan",715,497,218,497,217,280,218,22,21,0,28,0,0,147,280,241,11,0,0,0,0,16,10,0,52,18,44,38,10,25,10,7,0,0,0,0,0,0,0,0,39,565,280,241,11,0,0,0,0,0,5,21,0,0,8,32,3,15,37,48,37,24,0,0,0,0,0,0,39,784,181300,280,0,24,18,16,8,8,40,27,100,39,42.4,217,69,43,26,17,0,0,17,0,6,0,15,5,0,14,0,0,5,0,0,0,0,0,0,0,0,0,14600,"Block Group 1, Census Tract 5017, Wayne County, Michigan",79,89,71,89,83,74,71,30,24,10,33,10,10,59,74,70,19,10,10,10,10,20,14,10,40,18,41,36,8,28,17,13,10,10,10,10,10,10,10,10,40,55,74,70,19,10,10,10,10,10,7,23,10,10,12,28,5,16,33,44,32,28,10,10,10,10,10,10,40,62,53378,74,10,29,19,25,12,13,31,20,48,40,10.4,83,57,39,29,18,10,10,25,10,10,10,23,8,10,22,10,10,10,10,10,10,10,10,10,10,10,10,5500
62,26,163,501700,2,2.61635E+11,Block Group 2,G5030,S,639564,0,42.4063749,-82.9188172,G26016305017002,3837.858722,639564.9083,G26016305017002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501700,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5017, Wayne County, Michigan",441,356,85,356,256,100,85,0,0,11,0,0,0,74,100,100,0,0,0,0,0,0,0,13,0,4,2,28,8,0,17,13,15,0,0,0,0,0,0,0,0,669,100,100,0,0,0,0,0,0,0,0,0,13,0,0,0,14,2,36,12,23,0,0,0,0,0,0,0,858,85500,100,0,16,9,5,40,10,0,8,12,0,27.5,256,42,0,8,63,8,41,0,5,24,11,26,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,30900,"Block Group 2, Census Tract 5017, Wayne County, Michigan",74,73,50,73,61,55,50,10,10,17,10,10,10,48,55,55,10,10,10,10,10,10,10,20,10,9,6,35,13,10,23,15,19,10,10,10,10,10,10,10,10,167,55,55,10,10,10,10,10,10,10,10,10,20,10,10,10,16,6,40,16,21,10,10,10,10,10,10,10,65,47015,55,10,22,15,8,40,18,10,13,16,10,2.9,61,35,10,12,40,13,38,10,9,28,12,31,10,25,9,10,10,10,10,10,10,10,10,10,10,10,10,9361
63,26,163,501800,1,2.61635E+11,Block Group 1,G5030,S,296203,0,42.4026792,-82.9309424,G26016305018001,2180.588735,296202.6165,G26016305018001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501800,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5018, Wayne County, Michigan",562,513,49,513,310,203,49,49,0,0,0,0,0,0,203,203,0,0,0,0,0,0,0,0,28,8,38,0,0,66,0,36,27,0,0,0,0,0,0,0,0,721,203,203,0,0,0,0,0,0,0,0,0,28,0,0,38,39,0,8,17,73,0,0,0,0,0,0,0,746,179500,203,0,66,39,27,18,36,0,0,17,0,19.6,310,0,0,36,0,0,0,0,27,26,88,33,9,30,34,0,15,0,0,0,12,0,0,0,0,0,0,67500,"Block Group 1, Census Tract 5018, Wayne County, Michigan",126,124,48,124,100,107,48,48,10,10,10,10,10,10,107,107,10,10,10,10,10,10,10,10,44,14,56,10,10,63,10,57,39,10,10,10,10,10,10,10,10,106,107,107,10,10,10,10,10,10,10,10,10,44,10,10,56,54,10,14,28,72,10,10,10,10,10,10,10,379,103392,107,10,48,54,39,22,57,10,10,28,10,7.3,100,10,10,56,10,10,10,10,31,30,72,33,15,30,27,10,24,10,10,10,17,10,10,10,10,10,10,7773
64,26,163,501800,2,2.61635E+11,Block Group 2,G5030,S,314381,0,42.4006144,-82.9365278,G26016305018002,2276.664623,314382.7636,G26016305018002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501800,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5018, Wayne County, Michigan",387,277,110,277,228,49,110,0,0,27,27,0,0,56,49,49,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,527,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,25,0,13,0,0,0,0,0,0,954,48400,49,0,0,13,0,0,0,25,11,0,0,37.3,228,0,0,0,0,12,23,0,47,8,9,56,25,10,38,0,0,0,0,0,0,0,0,0,0,0,0,72700,"Block Group 2, Census Tract 5018, Wayne County, Michigan",100,74,83,74,74,41,83,10,10,41,44,10,10,62,41,41,10,10,10,10,10,10,10,10,17,42,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,328,41,41,10,10,10,10,10,10,10,10,10,10,10,10,10,17,10,10,42,10,20,10,10,10,10,10,10,242,43462,41,10,10,20,10,10,10,42,17,10,10,12.2,74,10,10,10,10,19,26,10,35,14,16,43,28,16,47,10,10,10,10,10,10,10,10,10,10,10,10,18208
65,26,163,501800,3,2.61635E+11,Block Group 3,G5030,S,429085,0,42.3949003,-82.9327591,G26016305018003,2694.573585,429083.1272,G26016305018003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501800,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5018, Wayne County, Michigan",647,474,173,474,360,114,173,0,0,115,29,0,0,29,114,100,0,0,0,0,0,0,6,0,12,31,0,0,11,8,0,32,0,0,0,0,0,0,0,0,14,655,114,100,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,6,8,31,32,0,0,0,0,0,14,1105,112000,114,8,49,31,12,0,0,0,0,0,14,14.3,360,9,0,0,0,13,31,0,86,26,13,47,49,19,67,0,0,0,0,0,0,0,0,0,0,0,0,70400,"Block Group 3, Census Tract 5018, Wayne County, Michigan",133,131,108,131,118,72,108,10,10,89,49,10,10,46,72,72,10,10,10,10,10,10,11,10,20,49,10,10,16,13,10,47,10,10,10,10,10,10,10,10,23,315,72,72,10,10,10,10,10,10,10,10,10,10,10,20,10,16,10,11,13,49,47,10,10,10,10,10,23,301,90282,72,13,51,49,20,10,10,10,10,10,23,3.6,118,15,10,10,10,20,40,10,66,28,21,44,55,23,53,10,10,10,10,10,10,10,10,10,10,10,10,25202
66,26,163,501800,4,2.61635E+11,Block Group 4,G5030,S,400643,0,42.3970274,-82.9272381,G26016305018004,2615.191261,400644.2605,G26016305018004,2013-2017, , ,Michigan,26,Wayne County,163, , ,501800,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5018, Wayne County, Michigan",557,473,84,473,346,127,84,27,0,0,0,0,0,57,127,127,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,68,13,0,0,0,0,0,0,0,926,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,34,0,13,56,12,0,0,0,0,0,1270,145400,127,0,13,79,0,0,11,0,0,24,0,18.2,346,0,0,0,60,0,7,10,37,71,11,37,59,24,18,10,2,0,0,0,0,0,0,0,0,0,0,58300,"Block Group 4, Census Tract 5018, Wayne County, Michigan",124,116,75,116,94,97,75,42,10,10,10,10,10,61,97,97,10,10,10,10,10,10,10,10,10,10,10,10,62,10,10,10,71,19,10,10,10,10,10,10,10,328,97,97,10,10,10,10,10,10,10,10,10,10,10,10,10,21,10,57,10,19,60,24,10,10,10,10,10,596,113076,97,10,19,80,10,10,16,10,10,33,10,7,94,10,10,10,57,10,12,16,50,46,17,30,57,26,28,16,8,10,10,10,10,10,10,10,10,10,10,16003
67,26,163,501900,1,2.61635E+11,Block Group 1,G5030,S,160718,0,42.3989956,-82.940771,G26016305019001,1749.950763,160718.1017,G26016305019001,2013-2017, , ,Michigan,26,Wayne County,163, , ,501900,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5019, Wayne County, Michigan",365,242,123,242,81,161,123,0,0,0,0,0,0,123,161,155,18,0,0,0,0,0,0,0,7,28,47,0,14,7,16,18,0,0,0,0,0,0,0,0,6,576,161,155,0,0,18,0,0,0,0,0,0,0,0,0,7,16,0,57,43,7,7,0,0,0,0,0,6,864,126500,161,0,0,18,7,0,0,30,29,71,6,47.8,81,12,19,0,5,20,9,0,4,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,26100,"Block Group 1, Census Tract 5019, Wayne County, Michigan",83,67,62,67,32,70,62,10,10,10,10,10,10,62,70,70,31,10,10,10,10,10,10,10,10,29,41,10,22,10,27,28,10,10,10,10,10,10,10,10,9,35,70,70,10,10,31,10,10,10,10,10,10,10,10,10,10,24,10,46,38,12,10,10,10,10,10,10,9,67,58994,70,10,10,31,10,10,10,31,33,49,9,16.5,32,18,21,10,8,18,15,10,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10571
68,26,163,501900,2,2.61635E+11,Block Group 2,G5030,S,158774,0,42.3940805,-82.9375559,G26016305019002,1736.091448,158773.0303,G26016305019002,2013-2017, , ,Michigan,26,Wayne County,163, , ,501900,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5019, Wayne County, Michigan",380,267,113,267,117,150,113,0,0,16,0,0,0,97,150,150,0,0,0,0,0,0,0,21,0,31,12,0,53,18,9,0,0,6,0,0,0,0,0,0,0,660,150,150,0,0,0,0,0,0,0,0,8,0,19,0,0,18,0,40,32,8,25,0,0,0,0,0,0,875,134400,150,0,0,4,6,9,12,0,15,86,18,50,117,29,0,0,6,25,9,7,2,6,16,4,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,29700,"Block Group 2, Census Tract 5019, Wayne County, Michigan",88,67,61,67,56,59,61,10,10,26,10,10,10,56,59,59,10,10,10,10,10,10,10,18,10,29,12,10,43,24,12,10,10,12,10,10,10,10,10,10,10,80,59,59,10,10,10,10,10,10,10,10,11,10,23,10,10,25,10,38,29,10,21,10,10,10,10,10,10,69,53331,59,10,10,8,9,11,18,10,24,46,25,0,56,30,10,10,9,31,10,11,4,9,26,6,8,10,10,10,10,10,11,10,10,10,10,10,10,10,10,14308
69,26,163,501900,3,2.61635E+11,Block Group 3,G5030,S,207156,0,42.3913198,-82.9383781,G26016305019003,2227.72278,207156.2029,G26016305019003,2013-2017, , ,Michigan,26,Wayne County,163, , ,501900,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5019, Wayne County, Michigan",349,266,83,266,140,126,83,30,0,16,0,0,0,37,126,114,0,0,0,0,0,0,0,0,0,35,0,19,18,42,0,0,0,0,0,0,0,0,0,0,12,658,126,114,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,50,13,26,11,0,0,0,0,0,12,886,104300,126,0,6,0,0,5,32,5,22,44,12,44.1,140,0,6,5,0,33,15,6,11,16,27,11,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,44500,"Block Group 3, Census Tract 5019, Wayne County, Michigan",57,60,52,60,40,53,52,33,10,25,10,10,10,33,53,56,10,10,10,10,10,10,10,10,10,28,10,22,21,38,10,10,10,10,10,10,10,10,10,10,20,80,53,56,10,10,10,10,10,10,10,10,10,13,8,10,10,10,10,42,20,26,12,10,10,10,10,10,20,96,52063,53,10,8,10,10,8,37,7,24,32,20,13.9,40,10,9,8,10,31,24,9,12,15,31,12,5,10,10,9,10,10,10,10,10,10,10,10,10,10,10,23541
